stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,2.63,0,0,0,10.51,2.63,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,5,0,0,2,0,3,15,0,1,1,1,4,2,1
 24-34,0,0,0,0.82,0,0.82,0,0,0.82,14.78,0,0,0,0,0,2.46,1.64
 36-46,0,0,0,0,0.81,0,1.61,0,0,23.36,0,0,0,0,0,8.06,0
 48-58,0,0,0,0.57,0,1.15,2.3,0,0,3.44,0,0,0,0,0,1.72,1.15
 60-70,0,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,2.94,0
 72-82,0,0,0,0.98,2.94,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,1.06,1.06,0,0,3.19,0,0,0,0
 96-106,0,0,0,0,0,1.09,2.19,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0.77,0.77,0,0.77,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0
