stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,196.15,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,0,0,7.89,0,0,0,2.63,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,15.73,0,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,2,1,4,11,0,1,0,0,0,1,0,0,3,0,3,0,0,2,0,8,0,0,7,21,2,0,0,0,0,2,0,29,0,2,8,0,1,0
 24-34,0,0,0,0,4.1,1.64,0,1.64,0.82,3.28,0,0,0,0,0.82,0,32.01,0,0,4.93,0,8.21,5.75,0,2.46,32.01,0.82,0.82,0,0,0,15.6,0,33.66,0,0,11.49,0,9.85,0
 36-46,0,0,0,0,0.81,0,0,8.06,0,0,0,4.03,1.61,0,1.61,1.61,15.31,0,0.81,0.81,0,4.03,2.42,0,1.61,23.36,0.81,0,0.81,0,0,12.09,0,17.72,0,0,8.06,0,8.86,0.81
 48-58,0,0,0,0,1.72,0,0,9.75,1.15,0,1.15,14.35,0,0,1.72,2.3,2.3,0,0,1.15,1.15,11.48,0,0,1.72,17.21,0.57,1.72,0.57,0,0,9.75,0,16.64,1.72,0,7.46,0,8.61,1.72
 60-70,0,0,0,0,2.94,1.96,0,9.82,0,0,0,66.74,1.96,0,0.98,2.94,4.91,0,0,0,0.98,23.56,0,0,2.94,15.7,1.96,0,0.98,0,1.96,7.85,0,14.72,0,0,11.78,0.98,6.87,6.87
 72-82,0,0,0,0,0,16.69,0,13.74,0,0,1.96,157.07,6.87,0,0,9.82,5.89,0.98,0.98,0,0.98,59.88,0,0,1.96,22.58,0,0.98,3.93,0,0,9.82,0,13.74,0,0,10.8,0.98,13.74,1.96
 84-94,0,0,0,0,9.56,8.5,0,20.18,0,0,0,97.71,8.5,0,0,9.56,20.18,3.19,0,0,0,30.8,1.06,1.06,2.12,16.99,0,1.06,0,0,0,28.68,0,22.3,1.06,0,3.19,0,9.56,5.31
 96-106,0,0,0,0,8.74,22.95,0,24.04,0,2.19,1.09,128.96,25.14,0,0,20.76,19.67,0,0,1.09,4.37,52.46,0,0,2.19,25.14,2.19,1.09,1.09,0,0,27.32,0,29.51,0,0,22.95,0,14.21,1.09
108-118,0,0,0.77,0,9.19,9.96,1.53,30.64,0,2.3,0.77,120.26,31.4,0,0.77,6.13,21.45,6.13,0.77,2.3,0.77,42.13,1.53,0,0.77,24.51,0,1.53,0,0,0,13.02,0,26.81,1.53,0,5.36,0.77,9.96,7.66
120,0,0,0,0,11.76,7.84,0,7.84,0,3.92,3.92,94.07,54.87,0,1.96,15.68,11.76,0,0,1.96,0,37.24,0,0,0,37.24,0,3.92,0,0,0,9.8,0,29.4,0,0,1.96,1.96,15.68,0
