stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,6,43,55,0,0,9,0,0,0,14,19,3,0,0,18,3,0,0,0,276,1,0,2,2,0,1,2,0,1,0,280,0,5,0,11
 24-34,8.21,5.75,96.86,0,0,11.49,0,0,0,25.45,22.16,2.46,3.28,0.82,29.55,4.1,1.64,0,2.46,197.01,0.82,2.46,9.85,0,5.75,0,0,0.82,0,2.46,205.21,0,22.16,0,27.91
 36-46,3.22,0.81,71.7,0,0,4.83,0,0,0,15.31,7.25,6.45,4.03,0,10.47,2.42,0.81,0,0.81,116.02,1.61,2.42,4.03,0,4.83,0.81,0,0,0,0,122.46,0,7.25,0,12.89
 48-58,1.15,0.57,82.63,0,0,9.18,0,0,0.57,25.82,1.72,10.9,2.87,0,2.3,2.87,0,0,0,50.49,0,0.57,9.18,0,6.89,0,0,0,0,0,33.28,0,8.61,0,17.79
 60-70,3.93,0.98,94.23,0,0,11.78,0,0,0,41.22,1.96,34.35,10.8,0,1.96,3.93,0,0,1.96,62.82,0,0,17.67,0,31.41,0,0,0,0,0,16.69,0,3.93,0,10.8
 72-82,1.96,4.91,83.44,1.96,0,29.45,1.96,0.98,0,63.81,2.94,33.38,20.61,0.98,0,12.76,0.98,0,0,82.46,0,1.96,38.28,0,82.46,0,0,0,0,0,11.78,0.98,12.76,0,6.87
 84-94,7.43,3.19,170.99,1.06,0,21.24,1.06,0,1.06,90.27,2.12,52.04,33.99,1.06,4.25,1.06,0,0,0,59.47,2.12,0,55.23,0,172.05,0,0,0,0,0,9.56,3.19,12.74,1.06,4.25
 96-106,9.84,9.84,153,4.37,0,30.6,1.09,0,0,119.12,2.19,41.53,30.6,2.19,1.09,20.76,2.19,1.09,1.09,67.76,0,3.28,71.04,0,330.04,1.09,0,0,0,0,5.46,0,14.21,1.09,14.21
108-118,14.55,7.66,134.81,7.66,0.77,35.23,0.77,0,0,85.79,6.13,42.89,26.81,0.77,1.53,13.02,3.06,0.77,0.77,78.13,1.53,1.53,45.19,0,323.24,0,0,0,0,0,3.06,0,14.55,0,8.43
120,23.52,11.76,41.16,13.72,0,23.52,0,0,0,103.87,3.92,27.44,21.56,0,1.96,5.88,1.96,0,1.96,109.75,1.96,1.96,52.91,0,293.97,1.96,0,0,0,0,5.88,0,21.56,0,3.92
