stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,9.85,0,0,0,0
 36-46,0,0,0,0,0,4.03,0.81,0,0,0,0,0,0.81,0,16.92,0,0,0,0
 48-58,0,0,0,0,0,3.44,0,0,0,0.57,0.57,0,0.57,0,8.03,0,0,0,0.57
 60-70,0.98,0,0,0,0,9.82,0,0,0,0,0.98,0.98,0,0,15.7,0,0,0,0
 72-82,3.93,0.98,0,0,0,33.38,0,0,0,0,0.98,0,3.93,0,75.59,0,0.98,0,0
 84-94,7.43,2.12,2.12,0,0,48.85,0,0,0,1.06,3.19,0,1.06,0,225.15,0,0,0,0
 96-106,32.79,3.28,1.09,0,1.09,90.71,1.09,0,1.09,1.09,3.28,0,4.37,1.09,189.06,1.09,0,1.09,0
108-118,27.57,0,2.3,0.77,0,82.72,0,0.77,0.77,0.77,6.89,0,3.83,0,99.58,0,0,0,0
120,17.64,1.96,0,0,1.96,37.24,0,0,0,0,3.92,0,3.92,0,80.35,0,0,0,0
