stage,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
 14-21,2,0,3,1,0,1,0,3,0,2,60,1,0,0,1,0,6,4,8,0,0
 24-34,3.28,0,9.03,0,0,0,0.82,8.21,0,2.46,82.09,0,0.82,0,0,0,0,1.64,18.88,4.1,0
 36-46,0,0,14.5,2.42,0,0,0,4.83,0.81,1.61,26.59,0,0,0.81,0,0.81,0,0,7.25,0,0
 48-58,0,0,15.49,4.59,0,0,0,6.31,1.15,1.72,20.08,0,0,0,0,0.57,0,0,5.16,0,0
 60-70,0,0,10.8,5.89,0,0,0,3.93,0,0.98,5.89,0,0,0,0,0,0,0,0.98,0,0
 72-82,0.98,0,5.89,1.96,0,0,0,2.94,0,2.94,4.91,0,0,1.96,0,0.98,0,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,0,0,7.43,0,0,4.25,0,0,0,0,0,0,0,2.12,0,0
 96-106,1.09,1.09,3.28,1.09,1.09,0,0,2.19,0,1.09,4.37,0,1.09,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0,3.06,0,0.77,0,2.3,0,0,4.6,0,0,0,0,0,0,0,0.77,0,0
120,3.92,0,1.96,1.96,0,0,0,0,0,1.96,11.76,0,0,0,0,0,0,0,1.96,0,0
