stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0,0.82,1.64,0,0,0,0,55.82,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,65.26,0.81,0,0,0,0
 48-58,0,0,3.44,0,0,2.3,0,1.72,0,0,1.72,0,0,0.57,4.02,0,0,0,0,93.53,2.87,0,0.57,0,0
 60-70,0,0,10.8,0,0,3.93,0,12.76,0,0,0.98,0,1.96,1.96,5.89,0,0,0,0,261.08,0,0,0,0,0
 72-82,0,0,33.38,0,0,3.93,0,9.82,0,0,1.96,0.98,0,5.89,1.96,0,0.98,0,0,404.44,0.98,0.98,0.98,0,0
 84-94,0,0,49.92,1.06,0,3.19,0,24.43,0,1.06,12.74,0,2.12,9.56,5.31,0,0,0,0,1098.15,1.06,6.37,0,0,0
 96-106,0,0,101.63,1.09,1.09,1.09,1.09,46.99,2.19,4.37,21.86,0,2.19,16.39,13.11,0,0,0,0,1183.55,0,2.19,1.09,0,3.28
108-118,0,0,98.81,0,0,1.53,0,68.17,1.53,7.66,22.21,0,1.53,16.85,9.19,0,0,0,0.77,956.69,0,5.36,1.53,0,0
120,0,0,54.87,0,1.96,3.92,0,37.24,0,1.96,13.72,0,3.92,23.52,7.84,1.96,0,0,0,731,0,1.96,0,1.96,0
