stage,blastomeres,endoderm,epidermis,erythrocytes,eye,lateral.line,mesenchyme,neural,periderm,spinal.cord
  3-4,65.89,0,0,0,0,0,0,0,13.18,0
  5-6,30.65,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,10.51,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,2,0,3
 24-34,0,0,0,0,0,0,0,2.46,0,1.64
 36-46,0,0,0,0,0,0,0.81,4.03,0,1.61
 48-58,0,0,0,0,0.57,0,0,1.72,0,1.72
 60-70,0,0,0,0,1.96,0,0.98,2.94,0,0
 72-82,0,0,0,0.98,0.98,0.98,0.98,1.96,0,0
 84-94,0,0,0,0,1.06,0,1.06,1.06,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0,2.3,0,0
