stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,19,0,0,0,0,0,0,3,0,4,3,1,1,0,0,0,1,1,2,2,0,0,0,0
 24-34,0,0,0.82,2.46,0,1.64,0.82,0.82,0,0.82,11.49,0,15.6,4.93,0.82,4.1,0,0,0,3.28,0,0.82,3.28,0,0,0,0
 36-46,0,0,0,1.61,0.81,0,1.61,1.61,0,0,24.98,0,12.09,4.03,0,4.03,2.42,0,0,3.22,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,1.15,0,1.72,0,0,0.57,38.44,0,6.31,4.59,0,1.15,0.57,0,0.57,4.59,0,0,2.3,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,61.84,1.96,10.8,1.96,0,1.96,0,0,0,2.94,0,0,0.98,1.96,0,0,0
 72-82,0,0,0,0,1.96,0,5.89,0.98,0,2.94,103.07,2.94,5.89,2.94,0,0.98,0.98,0,0.98,1.96,0,0,1.96,1.96,0,2.94,0.98
 84-94,0,0,0,2.12,1.06,0,7.43,1.06,0,1.06,74.34,7.43,8.5,3.19,0,2.12,0,0,0,8.5,0,0,0,5.31,0,5.31,0
 96-106,0,0,0,0,3.28,1.09,1.09,2.19,0,0,60.11,3.28,5.46,2.19,0,1.09,1.09,0,1.09,6.56,0,0,1.09,2.19,0,3.28,0
108-118,0,0,0.77,1.53,1.53,0,6.13,0,0,0,57.45,1.53,0.77,2.3,0,3.06,1.53,0,1.53,2.3,0,0,0.77,1.53,0,2.3,0
120,0,0,0,1.96,1.96,0,0,1.96,0,0,41.16,0,3.92,3.92,0,5.88,0,0,0,3.92,0,0,0,0,0,1.96,0
