stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,658.9,3360.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0
  5-6,1029.78,4051.69,18.39,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,404.56,61.3,0,0,159.37,79.69,0,0,0,0,0,0,0,0,0,0
  7-9,57.83,36.8,34.17,0,0,18.4,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,1227.61,123.55,0,0,1054.11,5.26,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,3.15,0,0,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1227.32,28.32,0,0,752.13,0,9.44,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,16,2,6,0,1,0,17,1,0,0,0,0,0,0,0,0,28,0,0,20,344,9,0,0,55,1,0,3,1,0,7,363,0,0,0,0
 24-34,0,0,0,5.75,1.64,20.52,0,1.64,2.46,19.7,2.46,0,1.64,0,0,0,2.46,0.82,0,109.17,0,0,41.04,313.57,3.28,0,2.46,0,1.64,0,0,1.64,0,3.28,135.44,0,0,0,0
 36-46,0,0,0,2.42,0,19.34,0,0,4.03,5.64,1.61,0,0,0,0.81,0,0.81,0,0,147.44,0,0,41.09,169.19,0.81,0,5.64,0,2.42,0,0,0,0.81,0,57.2,0,0,0.81,0
 48-58,0,0,0,4.02,0,12.05,0,0,7.46,9.18,0,0.57,0,0,0,0,1.15,0,0,122.22,0,0,30.41,90.66,0,0,4.02,0,0,0,0,0,0,0,17.21,0,0,2.87,0
 60-70,0,0,0,7.85,0,17.67,0,0,6.87,10.8,0,0,0,1.96,0,0,1.96,0,0,137.41,0.98,2.94,14.72,52.02,0,0,2.94,0,1.96,0,0,0,0,0,2.94,0.98,0.98,0,0.98
 72-82,0,0,0,6.87,0,20.61,0,0.98,2.94,11.78,0,0,0,0,0,0,0,0,0,166.88,0,0,17.67,55.95,0,0.98,1.96,0,0,0,0,0,0,0,3.93,0.98,1.96,2.94,0
 84-94,0,0,0,10.62,0,20.18,0,0,7.43,11.68,1.06,0,0,0,2.12,0,0,0,0,135.94,0,1.06,15.93,23.36,0,0,3.19,0,0,0,0,0,0,0,6.37,7.43,2.12,5.31,1.06
 96-106,0,0,0,15.3,0,17.49,1.09,1.09,7.65,6.56,0,0,0,0,3.28,1.09,1.09,0,1.09,136.61,0,2.19,12.02,32.79,0,1.09,6.56,0,1.09,0,0,0,0,0,3.28,26.23,3.28,0,1.09
108-118,0,0,0,14.55,1.53,9.19,0,1.53,6.89,11.49,0,0,0,0,2.3,0,1.53,0,0.77,130.21,0,1.53,9.19,32.17,2.3,0.77,3.06,0,1.53,0,0,0,0,0,0,35.23,0,4.6,2.3
120,0,0,0,9.8,0,13.72,0,1.96,7.84,5.88,1.96,0,0,0,1.96,0,0,0,0,86.23,0,0,13.72,31.36,0,0,1.96,0,0,0,0,0,0,0,1.96,21.56,0,3.92,3.92
