stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0.82,124.77,0,7.39,0.82,0,0,0.82,0,0,0.82,38.58,0,0,0,0,0
 36-46,0,0,1.61,0,0,4.83,0,0,0,4.03,0,0,0.81,0,0,0,0,0,0.81,0,0.81,274.73,0,16.92,0,0,0,0.81,0.81,0,0,53.17,0,0,0,0,0
 48-58,0.57,0,1.15,0,0,26.4,0,0,0.57,21.8,0,0,0,0,0,0,0.57,0,4.59,0,0.57,402.81,0,11.48,1.15,0,0,1.15,0,0,0,56.81,0,0.57,0,0,0.57
 60-70,0,0,0.98,0.98,0,79.5,0,0,0.98,61.84,0,0,0,0,0,0,0,0,5.89,1.96,0,682.16,0.98,15.7,1.96,0,0,1.96,0,0.98,0,82.45,0,0,0,0,0
 72-82,0,1.96,2.94,1.96,0,131.54,0,0.98,0.98,85.4,0.98,0,0.98,0,0,0,0,0,15.71,0,4.91,696,0,37.3,6.87,0,0,0.98,0,0,0,58.9,0.98,0,1.96,0.98,0.98
 84-94,0,0,5.31,1.06,0,99.83,0,0,2.12,44.61,0,0,0,1.06,1.06,0,0,0,13.81,3.19,1.06,371.71,1.06,25.49,7.43,0,2.12,2.12,0,1.06,0,31.86,1.06,0,1.06,1.06,0
 96-106,0,0,3.28,0,0,91.8,0,0,0,56.83,1.09,0,0,1.09,0,0,2.19,0,10.93,0,0,379.22,0,53.55,18.58,0,1.09,5.46,0,0,0,20.76,1.09,1.09,2.19,2.19,1.09
108-118,0,0.77,6.13,3.06,0.77,67.4,0,0.77,0,47.49,1.53,0,0,0,0,0.77,0,0.77,7.66,0,0.77,419.75,0,30.64,6.13,0,0.77,0.77,0,0,0,16.85,3.06,0,0.77,2.3,0
120,0,0,11.76,0,0,78.39,1.96,0,0,37.24,0,0,0,0,0,0,5.88,0,5.88,0,3.92,523.26,1.96,25.48,7.84,0,0,3.92,0,0,0,19.6,0,0,5.88,1.96,0
