stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,47,0,2,0,0,0,0,0,0,1,37,0,0,0,0
 24-34,0,0,1.64,1.64,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,1.64,249.54,0,12.31,0,0,0.82,0,0,0,0,97.68,0,0,0,0
 36-46,0,0,0.81,1.61,0,28.2,0,1.61,0,0,0,0,0,0,0,0.81,0,0,0,688.04,0,11.28,0.81,0,0,0,0,0,0,157.91,0,0,0,0
 48-58,0,0,0.57,1.15,0,94.68,0,6.31,0,0,0,0,0,0,0,8.03,0,0,0.57,817.1,0.57,6.31,0.57,0,1.15,0,0,0,0,155.5,0,0,0.57,2.3
 60-70,0.98,0,2.94,5.89,0,293.48,0,17.67,0,0,0,0,0.98,0,0,9.82,0,0.98,0,1334.87,0.98,15.7,1.96,0,0.98,0,0,0,0,172.75,0,0,3.93,0
 72-82,0,0,3.93,3.93,0.98,343.58,0.98,34.36,2.94,0,0,0,0,0.98,0.98,14.72,0,0.98,0.98,1134.8,0,20.61,4.91,0,0,0,0,0,0,99.15,0,0.98,0.98,0
 84-94,0,0,1.06,8.5,0,202.85,0,20.18,0,1.06,0,0,0,0,0,13.81,0,1.06,0,559.69,0,8.5,7.43,0,2.12,0,0,0,0,54.16,1.06,1.06,0,0
 96-106,0,0,1.09,6.56,1.09,204.36,1.09,18.58,0,1.09,0,1.09,1.09,1.09,0,14.21,1.09,1.09,0,500.52,0,18.58,6.56,0,2.19,0,0,0,0,32.79,1.09,0,3.28,1.09
108-118,0,0,0,4.6,1.53,136.34,0,12.26,1.53,1.53,0.77,0.77,0.77,0.77,0,11.49,0,0,1.53,560.68,0,12.26,9.96,0,0.77,0,0,0.77,0,20.68,0,0,0,0
120,0,0,0,11.76,1.96,141.1,0,17.64,1.96,1.96,0,0,1.96,1.96,0,15.68,1.96,0,0,554.62,0,7.84,1.96,0,1.96,0,0,0,0,19.6,0,0,1.96,0
