stage,epidermis,eye,fin.mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0.82,0,0
 36-46,0,3.22,0,0,0,0,0,0,19.34,0.81,0,0,0,4.83,0,0
 48-58,0,6.31,0.57,1.15,0,0,2.3,0,36.15,0,0,0,0,4.02,1.15,0
 60-70,0,7.85,0,0.98,0,0,1.96,0,33.37,0,0,0,0.98,0,0.98,0.98
 72-82,0,4.91,0,0.98,0,0,0.98,0,27.49,0,0,0,0,0.98,0,0
 84-94,0,7.43,0,0,1.06,0,2.12,0,12.74,0,0,1.06,0,1.06,0,0
 96-106,0,1.09,0,1.09,0,0,0,1.09,2.19,0,0,1.09,0,0,1.09,0
108-118,3.06,3.06,0.77,1.53,0,0,0.77,0,7.66,0.77,0.77,0.77,0,0,0,0
120,1.96,1.96,0,0,0,1.96,1.96,1.96,3.92,0,0,0,0,0,0,0
