stage,endocrine.pancreas,eye,glial,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,1,1
 24-34,0,0.82,0,0,0,0,0,0.82,0,9.03,0.82,0,0,4.1
 36-46,0,0.81,0,0,0,0,0.81,0,0,8.86,0,0,0,1.61
 48-58,0,2.3,1.15,0,0.57,0.57,0,1.15,0,9.18,0,0,0,2.87
 60-70,0,8.83,0.98,0,0,0,0,0,0,8.83,0,0,0,0.98
 72-82,0,7.85,5.89,0,0,0,0,1.96,0,10.8,0,0,0,0
 84-94,1.06,7.43,1.06,0,0,0,0,1.06,0,4.25,0,0,0,0
 96-106,1.09,4.37,2.19,0,0,0,0,2.19,0,2.19,0,0,0,0
108-118,0,0.77,2.3,0,0,0,0,0.77,0.77,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0,0,1.96
