stage,epidermis,eye,fin_epithelia,glial,gut,iridophores,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,3,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,4.93,0,0,0,0.82,1.64,0
 36-46,0.81,0,0,0,0,0,0,8.06,0,0,0.81,0,1.61,0
 48-58,0.57,0.57,0,0,0,0,0,16.07,0,0,0,0,1.72,0
 60-70,0,1.96,0.98,0.98,0,0,0,25.52,0.98,0,0,0,1.96,0.98
 72-82,0,2.94,0,0,0,0,0.98,13.74,0,0,0.98,0,1.96,0
 84-94,0,1.06,0,1.06,1.06,0,1.06,7.43,0,0,0,0,0,0
 96-106,1.09,3.28,0,1.09,0,0,1.09,8.74,1.09,0,1.09,0,0,0
108-118,0,1.53,0,0,0,0.77,0,7.66,0,0,0,0,0,0
120,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
