stage,epidermis,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,6.45,0,0,0,0
 48-58,0,2.87,0,0.57,2.3,0.57,0,8.03,0,0,1.72,0
 60-70,0,4.91,0,0.98,1.96,0.98,0,9.82,0,0,0.98,0
 72-82,0,0.98,0,0,1.96,1.96,0,0.98,0,0,0,0.98
 84-94,0,1.06,0,1.06,3.19,1.06,0,3.19,1.06,2.12,0,0
 96-106,0,0,1.09,1.09,12.02,3.28,0,1.09,0,1.09,0,0
108-118,0.77,0.77,0,0,11.49,0.77,0,1.53,0,1.53,0,0
120,3.92,0,0,1.96,17.64,0,0,3.92,0,1.96,0,0
