stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,vasculature,xanthophores
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,2.42,0,0,0,0
 48-58,0.57,0,0,0,0,0,0,0,0.57,0,0,0,4.02,0,0,0.57,1.15
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0.98,0,1.96,0,0.98,8.83,0,0.98,0,3.93,0,0.98,1.96,0.98
 84-94,0,0,0,2.12,1.06,4.25,0,0,22.3,0,1.06,1.06,0,0,0,0,1.06
 96-106,0,0,1.09,3.28,1.09,1.09,1.09,0,29.51,0,0,2.19,2.19,0,0,0,0
108-118,0,0,4.6,4.6,0,3.83,0,0.77,73.53,0.77,2.3,0,5.36,0.77,0,0.77,0
120,0,0,0,0,3.92,5.88,0,0,31.36,0,1.96,0,3.92,0,0,0,1.96
