stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,139,22,0,0,0,1,0,2,2,0,0,0,0,0,3,0,0,4,27,0,0,0,1,0,0,1,0,6,0,0,50,0,0
 24-34,0,0,0,0,6.57,14.78,0,0.82,0,0,0,3.28,11.49,4.1,0,0,0,0,8.21,0.82,0,2.46,35.3,0,0,0,0,0,0.82,0,0,0.82,0,0,76.34,0,0
 36-46,0,0,0,0.81,1.61,28.2,0,0.81,1.61,0,0,1.61,17.72,0,0,0,0,0,6.45,0,0,1.61,24.17,0,0,0,0,0,3.22,0,0,1.61,0,0,74.93,0,0
 48-58,0,0,0,0.57,0,82.05,0,0.57,1.72,0,0,5.16,15.49,0,0,0,0,0.57,10.9,0,1.15,1.72,18.36,0,0,0,0,0.57,2.87,0,0,1.15,0,0.57,60.25,0,0
 60-70,0,0,0,0.98,0,165.88,0,1.96,5.89,0,0,5.89,37.3,0.98,0,0,0,0,16.69,0,5.89,0.98,20.61,0,0,0,0,0.98,1.96,0,0,0.98,0,1.96,69.69,0,1.96
 72-82,0,0,0.98,0,0,108.96,1.96,0.98,10.8,0.98,0,6.87,53.01,0,0,0,0,0,28.47,0,7.85,1.96,29.45,0.98,0,0,0,0,2.94,0,0,1.96,1.96,3.93,135.47,2.94,0
 84-94,0,0,0,1.06,0,96.65,0,2.12,8.5,0,0,3.19,89.21,1.06,1.06,0,0,0,13.81,0,9.56,2.12,19.12,0,0,1.06,0,3.19,10.62,0,0,1.06,0,2.12,113.64,1.06,0
 96-106,0,0,0,0,1.09,38.25,0,1.09,10.93,0,0,10.93,149.72,8.74,1.09,1.09,0,0,26.23,2.19,9.84,2.19,19.67,0,0,0,0,2.19,19.67,0,1.09,1.09,3.28,2.19,163.93,9.84,0
108-118,0.77,0,0,1.53,0,37.53,1.53,0,8.43,0.77,0,8.43,111.83,3.83,0,0,1.53,0,25.28,0,3.83,2.3,26.04,0.77,0.77,0.77,0,3.06,10.72,0,1.53,0.77,2.3,3.83,140.17,4.6,0
120,0,0,0,0,0,17.64,0,0,3.92,0,0,5.88,107.79,0,1.96,1.96,1.96,0,9.8,1.96,1.96,3.92,21.56,0,0,0,0,5.88,7.84,0,0,0,1.96,1.96,101.91,1.96,1.96
