stage,axial,blastomeres,endoderm,erythrocytes,eye,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,144.96,3109.99,0,0,0,0,0,0,0,79.07,0,0,0
  5-6,104.2,1176.89,6.13,0,0,79.69,0,0,0,6.13,0,0,0
  7-9,0,10.51,5.26,0,0,84.12,5.26,0,31.54,0,2.63,0,0
 10-12,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,1.06
108-118,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0
