stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,21,0,0,0,0,1,0,3,6,0,0,0,0
 24-34,0,0.82,0,9.85,0,0,0,0.82,0,0,0,0,0,0.82,0.82,4.93,0,0,2.46,48.43,0.82,0,0.82,1.64,0,0,2.46,5.75,0,0,1.64,0
 36-46,0,1.61,0,12.09,0.81,0,0,2.42,0.81,0,0,0,0,0,0,4.03,0,0,1.61,51.56,0,0.81,0,4.83,0,0,0,11.28,0,0,0,0
 48-58,0,1.72,0,12.62,0,0.57,0,4.02,0,0.57,0,0.57,0.57,0,0,6.89,0,0,0.57,29.84,0,0,0,0.57,0,0,0,6.31,0,0,0,0
 60-70,0,0.98,0.98,8.83,0,0,0.98,5.89,1.96,0,0,0,0,0,0,4.91,0,2.94,0,23.56,0.98,0,0.98,0.98,0,0,0,2.94,0,0,0.98,0
 72-82,0,1.96,0,11.78,0,0.98,0,1.96,0,0,0,0,0,0,0,3.93,0.98,0,0.98,25.52,0,0,0,0,0,0.98,0,0.98,0,0,1.96,0.98
 84-94,0,4.25,0,5.31,0,1.06,0,4.25,1.06,1.06,0,0,0,0,0,4.25,0,0,2.12,10.62,0,0,0,5.31,0,0,0,2.12,0,0,2.12,0
 96-106,0,0,1.09,2.19,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,1.09,8.74,0,0,1.09,3.28,0,0,0,0,1.09,0,1.09,0
108-118,0,2.3,0,4.6,0,0,0.77,3.83,0,0,0,0,0,0,0,4.6,0,0,0,15.32,0,0,0.77,1.53,0,0,0,0.77,0,0,0.77,0
120,0,11.76,0,9.8,0,0,0,7.84,0,5.88,0,0,0,0,0,1.96,1.96,3.92,3.92,58.79,0,1.96,0,3.92,0,0,0,0,0,1.96,3.92,0
