stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,30.37,0,0,0,0,0,2.46,0,0,0,2.46,0,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0.81,0,0,0,10.47,0,0,0,0,0,4.83,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,9.75,0,0.57,0,0,0,4.59,0,0,0,1.72,0,0.57,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,7.85,0,0,0,27.48,0,0,0,0,0,7.85,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,2.94,21.6,0,0,0,103.07,0,1.96,0,0,0,17.67,0,0,2.94,2.94,0,0,0,0,0
 84-94,2.12,1.06,0,0,8.5,0,0,2.12,39.3,0,0,0,368.53,0,0,0,0,0,9.56,1.06,0,1.06,3.19,0,0,0,1.06,1.06
 96-106,3.28,2.19,3.28,0,15.3,1.09,0,2.19,50.27,2.19,0,1.09,555.17,0,7.65,0,1.09,0,77.59,0,0,7.65,1.09,0,0,3.28,0,0
108-118,4.6,3.06,1.53,0.77,6.89,1.53,0.77,3.06,46.72,0,0.77,0,1032.52,0.77,5.36,0.77,0,0.77,52.09,0.77,1.53,2.3,3.83,0,0,0,0.77,0.77
120,0,1.96,1.96,0,7.84,0,0,0,68.59,0,0,0,384.12,0,3.92,0,0,0,31.36,0,0,1.96,0,0,1.96,0,0,0
