stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,263.56,8552.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.87,0,0,0,0,0,0,0,0,0
  5-6,190.02,2923.84,0,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,73.56,6.13,0,0,24.52,232.93,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,144.58,13.14,0,0,44.69,70.98,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,44.06,0,0,0,18.88,37.76,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,7,1,0,0,0,0,2,0,4,0,0,1,0,1,0,0,4,0,1,0,0,386,0,1,0,0,2,5,0,0,0
 24-34,0,0,0,1.64,7.39,0,1.64,0,0,0.82,0.82,0,8.21,3.28,2.46,0,1.64,10.67,0,1.64,27.09,0,9.85,2.46,0,552.44,0,0,3.28,0,0.82,2.46,0,0,0
 36-46,0,0,0.81,0.81,4.03,0,4.03,0.81,1.61,0,0,0,4.03,2.42,0,0,0.81,1.61,0,0,21.75,0,15.31,0.81,0,355.3,0,0,0.81,0,0,9.67,0,0,0.81
 48-58,0,0,0,0.57,5.16,0,10.33,2.87,1.72,1.15,0.57,0,4.02,4.02,0.57,0,6.31,8.61,0.57,0,25.25,0,7.46,2.3,0,417.73,0,0,1.15,0,0,1.72,0,0,0
 60-70,0,0,0,0,4.91,0,3.93,2.94,3.93,7.85,0.98,0,4.91,4.91,0,0,2.94,5.89,0,0,7.85,0,7.85,2.94,0,279.73,0,0,0.98,0,0,2.94,0,0,0
 72-82,0,0,1.96,0,18.65,0,7.85,0.98,2.94,21.6,0,0.98,5.89,4.91,0,0,1.96,7.85,0,0,15.71,0,20.61,12.76,0,276.83,0,0,0,0.98,0,1.96,1.96,1.96,0.98
 84-94,0,0,1.06,0,27.61,1.06,7.43,8.5,1.06,49.92,1.06,0,16.99,7.43,0,0,1.06,3.19,0,0,3.19,0,22.3,15.93,0,625.54,0,0,0,0,0,0,5.31,0,0
 96-106,0,0,1.09,0,60.11,1.09,8.74,2.19,3.28,28.41,0,2.19,13.11,17.49,2.19,0,2.19,2.19,0,0,18.58,0,29.51,21.86,0,472.11,0,0,2.19,0,0,0,3.28,1.09,0
108-118,0,0,0.77,0,42.89,0,6.89,3.06,0.77,26.04,0,2.3,18.38,13.02,2.3,0,1.53,6.13,0,2.3,12.26,0,13.02,16.85,0,344.68,0,0,4.6,0,0,0,8.43,0,0
120,0,0,0,0,39.2,0,0,5.88,3.92,13.72,0,1.96,7.84,9.8,1.96,0,1.96,7.84,0,0,19.6,0,15.68,13.72,0,235.17,0,0,1.96,0,0,0,5.88,0,0
