stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,6,0,0,5,1,1,2,2,1,14,0,0,0,0,0
 24-34,0,1.64,3.28,3.28,0,4.1,0.82,0.82,0,0,0,0,0.82,1.64,0,0,3.28,0,0,1.64,39.4,2.46,0,0,0,1.64,0,0,0,0,32.01,0,0,0.82,0,0
 36-46,0,2.42,0,0.81,0,2.42,0,0.81,4.03,0.81,0,0,0,0,0,0,3.22,0,0,1.61,71.7,0.81,0.81,0,0,0,0,0,0,0,42.7,0,0,0.81,0,0
 48-58,0,5.16,0,0,0,12.62,0,1.15,1.15,0,0,0.57,0,2.3,0,0.57,3.44,0,0,0,69.43,1.15,0,0,0,0.57,0,0,0,0,41.31,0,0,0.57,0,2.87
 60-70,0,2.94,0,1.96,0,21.59,0,0,4.91,0,0,0,0,3.93,0,0.98,17.67,0,0,0,94.23,0.98,0,0,0,0.98,0,0,0,0,32.39,0,0,0,0,2.94
 72-82,0,8.83,0,2.94,0.98,25.52,0.98,0,2.94,0,0,0,0,6.87,0,0,22.58,0,0,1.96,158.05,0,0,0,0,0,0,0,0,0,23.56,0,0,0,1.96,1.96
 84-94,0,9.56,0,2.12,1.06,20.18,0,0,7.43,1.06,0,1.06,1.06,5.31,0,0,23.36,0,2.12,0,112.58,0,1.06,0,0,1.06,0,0,0,0,14.87,1.06,1.06,0,0,5.31
 96-106,0,4.37,0,6.56,0,8.74,0,0,2.19,0,0,1.09,0,8.74,0,0,30.6,1.09,0,0,108.19,1.09,1.09,0,0,3.28,0,0,0,0,9.84,0,0,0,1.09,5.46
108-118,0,6.13,0,3.06,0.77,17.62,0,1.53,2.3,0.77,0,0.77,0.77,10.72,0,0,26.81,0,0,0,143.24,0,0,1.53,0,0,0,0,0,0,7.66,0,0,0.77,0,6.13
120,0,5.88,0,7.84,0,21.56,0,0,5.88,0,0,0,0,17.64,3.92,0,15.68,0,1.96,1.96,172.46,0,0,0,0,0,0,0,0,0,11.76,0,0,1.96,0,5.88
