stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,29.55,0,0,0,0,0,0,0,9.85,0,0,0,0,0.82
 36-46,0,0,0,1.61,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,122.46,0,1.61,0,0,0,1.61,0,20.14,0,0,1.61,0,0
 48-58,0,0.57,0,1.72,0,9.75,0,0,0.57,4.59,0,0,0,0,0.57,0,3.44,0.57,0,0,242.15,0,1.15,0,0,0,0,0,22.95,0,0,1.72,0,0
 60-70,0,0.98,0,1.96,0,28.46,0,0,0,6.87,0.98,0,0.98,0,0,0,3.93,0,0,0,388.68,0,1.96,0.98,0,0,0.98,0,44.17,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,46.14,0,0.98,0,5.89,0,0,0,0,0,0,9.82,0,0.98,0,399.54,0,1.96,0,0,1.96,0.98,0,36.32,0.98,0.98,0.98,0.98,0
 84-94,0,1.06,0,0,0,45.67,0,1.06,0,4.25,0,1.06,0,0,0,0,6.37,0,0,0,236.83,0,0,1.06,0,0,1.06,0,14.87,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,28.41,1.09,0,0,7.65,0,0,0,0,0,0,9.84,0,0,1.09,156.28,0,0,0,0,0,0,0,6.56,0,0,1.09,0,1.09
108-118,0,0,0,5.36,0,23.74,0,0,0,5.36,0,0,0,0.77,0,0.77,0.77,0,0.77,0.77,149.36,0,0.77,0,0,0,0.77,0,6.13,0,0,0.77,0,0
120,0,0,0,7.84,1.96,33.32,0,0,0,5.88,0,0,0,0,0,0,7.84,0,0,0,199.9,0,1.96,0,0,0,1.96,1.96,1.96,0,0,0,0,0
