stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,15.77,0,0,0,0,7.89,0,0,0,0,89.38,0,18.4,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,56.65,0,15.73,0,0,9.44,0,0,0,0,0
 14-21,0,2,4,1,0,8,0,0,0,0,1,4,6,0,2,44,0,0,0,4,0,0,4,11,0,0
 24-34,0,0,2.46,0,0,10.67,0,0.82,0,0.82,0,0,1.64,0,0.82,30.37,0,0,0,0,0,0,0.82,3.28,0,0
 36-46,0,0,0,0,0,7.25,0,0,2.42,0.81,0,0,2.42,0,0.81,20.14,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,4.59,0,0,1.15,0,0,0,3.44,0,0.57,6.89,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,18.65,0,0,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,54.97,0,0,2.94,0,0,0,2.94,0,1.96,9.82,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,111.51,0,1.06,1.06,0,0,0,6.37,0,2.12,9.56,1.06,0,1.06,0,0,2.12,0,0,0,0
 96-106,0,0,1.09,1.09,0,127.86,1.09,1.09,6.56,0,0,0,2.19,0,3.28,4.37,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0.77,0.77,129.45,0,1.53,3.83,0.77,0,0.77,6.89,0,2.3,13.79,0,0,0,0,0,0,0,0,1.53,0
120,0,0,3.92,0,0,43.12,0,1.96,9.8,0,0,0,9.8,0,5.88,17.64,0,0,0,0,0,0,0,0,1.96,0
