stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.01,7.89,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,18.88,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,280.08,12.59,0,0,138.47,0,0,6.29,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,1,14,10,12,0,0,0,2,1,0,1,0,0,0,0,0,0,13,0,0,12,196,4,0,1,4,0,1,0,21,0,17,72,0,0,1,0,0
 24-34,0,0,0,11.49,0,38.58,0,0.82,0.82,9.03,0,0,0,0,0,0,0,0.82,0,50.89,0,0,24.63,339.01,1.64,2.46,4.1,0,0,1.64,0,0,1.64,1.64,67.31,0,0,4.1,0,3.28
 36-46,0,0,0,2.42,0.81,86.21,0,2.42,0,8.06,0,0,0,0,0.81,0,1.61,0.81,0.81,34.64,0,1.61,8.86,157.91,0.81,0.81,0.81,0,0,0.81,0,0,0,0,49.15,0,0,4.03,0,0.81
 48-58,0,0,0,2.87,0,119.93,0,2.87,4.02,13.77,0,0,1.72,0.57,1.15,2.3,0,0.57,1.72,78.04,0.57,4.02,14.35,156.65,1.15,1.15,2.3,0.57,0,1.15,0,0,0,0,32.71,0,0,2.87,0,1.15
 60-70,0,0,0,7.85,0,195.32,0.98,2.94,4.91,31.41,0,0,0,0,0,0.98,0,0,0.98,88.34,0.98,0,10.8,127.6,0.98,0.98,0,0,0,0,0,0,0,0,12.76,0,0.98,2.94,0,1.96
 72-82,0,0,0,8.83,0.98,112.89,0.98,9.82,1.96,16.69,0.98,0,0.98,0,0,0.98,0.98,0,1.96,65.77,0,1.96,12.76,73.62,0,0.98,1.96,0,0.98,0.98,0,0,0.98,0,3.93,0,1.96,2.94,1.96,2.94
 84-94,0,0,0,5.31,0,84.96,0,4.25,1.06,8.5,2.12,0,1.06,2.12,1.06,2.12,1.06,0,0,42.48,0,1.06,9.56,35.05,1.06,1.06,2.12,0,0,2.12,0,0,0,0,7.43,1.06,1.06,5.31,0,2.12
 96-106,0,0,0,19.67,1.09,71.04,0,5.46,2.19,14.21,0,0,3.28,2.19,2.19,0,1.09,1.09,2.19,53.55,0,2.19,10.93,53.55,3.28,0,3.28,0,1.09,2.19,0,0,0,0,1.09,0,2.19,8.74,0,4.37
108-118,0,0,0,6.13,0,35.23,0,5.36,4.6,16.09,0.77,0,0,3.06,0,1.53,0,0,0,49.79,0,0.77,6.13,55.92,0,2.3,0.77,0,0.77,0,0,0,0,0,3.06,0,0.77,3.83,1.53,0
120,0,0,0,5.88,1.96,54.87,0,5.88,1.96,23.52,0,0,0,3.92,0,0,0,0,0,33.32,0,0,3.92,60.75,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,1.96
