stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,1.64,151.86,1.64,0,0,0,0,0,0,0.82,0.82,0,13.95,0.82,0,0,0,0,0.82,0,0.82,1.64,0,0,0
 36-46,0,0,0.81,70.9,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,123.37,2.3,0,0.57,2.3,0,0,0,1.15,0,0,7.46,0,0.57,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,88.34,3.93,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,148.23,0.98,0,0,1.96,0.98,0,0.98,3.93,0,0,9.82,0,0,0,3.93,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,146.56,0,0,0,3.19,0,0,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,185.78,2.19,1.09,0,0,0,0,0,0,0,1.09,5.46,0,0,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,1.53,190.72,0,0,0,2.3,0,0.77,0,1.53,0,0.77,4.6,0,0.77,0,0,0,0,0.77,0,0,0,2.3,0
120,0,0,1.96,203.82,1.96,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96
