stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,118.6,2240.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0
  5-6,349.39,3959.74,0,12.26,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,159.37,0,0,0,79.69,98.07,0,0,0,0,0,0,0,0
  7-9,73.6,141.95,0,262.87,0,0,452.14,0,0,0,0,0,194.52,0,0,0,0,0,0,0,0,0,4098.16,107.78,0,0,1700.78,10.51,21.03,0,0,0,0,0,0,0
 10-12,0,62.94,0,103.85,0,6.29,179.38,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,2212.32,28.32,0,0,934.65,12.59,18.88,3.15,72.38,3.15,3.15,0,0,0
 14-21,0,0,0,1,5,1,3,0,0,0,4,0,0,0,0,0,0,0,0,2,0,5,59,1,0,0,2,2,0,7,1,4,24,0,0,0
 24-34,0,0,0,0,10.67,0,77.16,0,0,0,3.28,0.82,0,0.82,0,0.82,0.82,0.82,0,38.58,0,13.13,402.22,0,2.46,4.1,0,6.57,0,0,0.82,0,72.24,0,4.1,0.82
 36-46,0,0,0,0.81,1.61,0.81,151.47,0,0.81,0,8.06,0,0,0,1.61,0,0.81,0,1.61,18.53,0.81,3.22,237.67,0,0.81,0.81,0,1.61,0,0,0,0,51.56,0,3.22,0
 48-58,0,0,0,0,1.72,1.15,146.89,0,0.57,0,4.59,0.57,0,0.57,0,0,0.57,0,0,13.77,1.15,2.87,89.51,0.57,0.57,0,0,1.72,0,0,0,0,7.46,0,0,0
 60-70,0,0,0,0,3.93,0,158.03,0.98,0,0,8.83,0,0,0,1.96,0,0,0,0,26.5,1.96,2.94,76.56,0,0.98,0,0,0,0,0,0.98,0,3.93,0,0,0
 72-82,0,0,0,0,1.96,0,43.19,0,0,0,5.89,0.98,0,0,0.98,0,0,0,0,21.6,1.96,3.93,41.23,0,0.98,0,0,0,0,0,0,0,0,0,2.94,0
 84-94,0,0,1.06,0,3.19,0,44.61,0,0,0,7.43,2.12,0,0,2.12,1.06,0,0,0,20.18,3.19,2.12,30.8,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,2.19,1.09,14.21,0,0,1.09,5.46,0,0,0,1.09,0,0,0,0,5.46,0,2.19,8.74,0,0,0,0,2.19,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0.77,12.26,0,0,0,1.53,0,0,0,0,0,0,0,0,1.53,1.53,1.53,16.09,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,3.92,1.96,21.56,0,1.96,0,11.76,0,0,0,1.96,0,0,0,1.96,5.88,0,0,27.44,0,0,1.96,0,0,0,0,0,0,0,0,0,0
