stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,2.46,0,0,0,0,0,0,4.1,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,2.87,0,0.57,0,1.15,0,0,0,0,0,0,0,9.18,0,0,0,7.46,0,0,0,0,0,0,1.15,0.57,0,0,0,0,0
 60-70,0,0,0,3.93,0,0,10.8,0,0.98,2.94,0.98,0,0,0,0,3.93,0,0,18.65,0,0,1.96,17.67,0,0,0,0,0,0.98,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,5.89,0.98,0,30.43,1.96,3.93,4.91,8.83,0,0.98,1.96,1.96,2.94,0.98,0,76.57,0.98,0,5.89,62.83,0,0,0,0,0,2.94,0,3.93,0,2.94,6.87,0.98,0
 84-94,0,0,0,11.68,1.06,0,23.36,0,6.37,5.31,5.31,4.25,0,0,4.25,10.62,0,1.06,81.78,0,0,0,31.86,0,0,2.12,0,0,4.25,0,2.12,0,3.19,0,1.06,0
 96-106,0,0,1.09,24.04,9.84,0,33.88,1.09,6.56,7.65,14.21,0,0,1.09,4.37,8.74,0,0,100.54,2.19,0,5.46,60.11,0,0,3.28,0,1.09,7.65,0,1.09,0,0,7.65,2.19,0
108-118,0,0,0,16.09,7.66,1.53,26.04,0,3.83,5.36,8.43,0.77,0,2.3,3.83,12.26,0,0,72.77,0,1.53,4.6,65.87,2.3,3.06,3.06,0,0.77,6.13,0.77,2.3,0.77,1.53,0,1.53,1.53
120,0,0,0,23.52,3.92,0,13.72,0,7.84,5.88,5.88,1.96,0,1.96,5.88,1.96,0,1.96,96.03,0,3.92,1.96,47.03,1.96,1.96,0,0,0,3.92,0,0,1.96,0,1.96,3.92,0
