stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,141.61,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,2,0,0,12,0,0,0,1,0,13,10,0,0,0,0,0,0,8,0,0,3,127,0,0,0,0,0,4,1,0,0,1,85,0,0,0,0,0
 24-34,0,0,0.82,10.67,0,0,23.8,0,0,0,4.93,0,0,0.82,0,0.82,0,0,0.82,0,8.21,0,0,7.39,389.91,0.82,27.09,1.64,0,0,3.28,0,0,0,0.82,211.78,0,0,0,0,0
 36-46,0,0.81,0,0.81,0.81,0,29,0,0,0,16.92,0.81,0,0,0,0,0,0,0,0,4.03,0,0,0.81,737.99,0,36.26,0.81,0,0,4.03,0,0,0,0,232.03,0,0,0,0,0
 48-58,0,0,0,8.03,0,0,111.32,0,0.57,0,39.59,0.57,0,0,0,0,0,0,0.57,0.57,10.9,0,0.57,3.44,1028.26,1.15,30.41,2.3,0.57,0,4.02,0,0,0,0,191.08,0,0,1.15,0,0
 60-70,0,1.96,0,5.89,0.98,0,277.77,0.98,0,0.98,41.22,2.94,0.98,0,0,0,0,0,0,0,10.8,0,0.98,0,1591.05,0,25.52,4.91,0,0,4.91,0,0.98,0,0,153.12,0,1.96,0.98,0,0
 72-82,0,7.85,0,17.67,3.93,0,640.04,0.98,0,1.96,104.06,0.98,0,0.98,0.98,0,0.98,0.98,0,2.94,48.1,0.98,1.96,0.98,1754.23,0,78.53,10.8,0.98,0,6.87,0,0.98,0.98,0,134.49,3.93,0,5.89,1.96,4.91
 84-94,0,2.12,0,28.68,1.06,0,423.75,3.19,4.25,1.06,53.1,3.19,0,0,0,0,0,3.19,0,1.06,27.61,1.06,3.19,1.06,926.1,1.06,66.91,12.74,0,1.06,19.12,0,1.06,0,0,59.47,6.37,1.06,1.06,0,1.06
 96-106,0,3.28,0,27.32,2.19,1.09,538.77,2.19,1.09,2.19,106.01,6.56,0,0,1.09,0,3.28,2.19,1.09,1.09,34.97,0,0,3.28,820.73,0,126.77,24.04,0,2.19,19.67,0,2.19,0,0,54.64,14.21,0,0,4.37,2.19
108-118,0,1.53,0,20.68,0.77,0,392.17,1.53,0.77,0,77.36,2.3,0,0,1.53,0,2.3,1.53,1.53,0,25.28,1.53,0,0,1185.71,0,78.89,16.09,0,3.83,12.26,0,0.77,0,0,32.17,13.79,0.77,0.77,0.77,0.77
120,0,0,0,17.64,0,0,278.29,3.92,1.96,0,80.35,0,0,0,0,3.92,0,0,1.96,0,19.6,0,1.96,3.92,946.58,1.96,43.12,1.96,0,1.96,9.8,0,1.96,0,0,27.44,3.92,0,0,0,0
