stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,61.3,643.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,21.03,34.17,0,0,0,63.09,0,0,21.03,0,0,0,0,0,0,0,0,0,565.17,15.77,0,0,207.67,0,5.26,0,0,0,0,0,0,0
 10-12,0,15.73,28.32,0,6.29,0,50.35,0,0,3.15,0,0,0,0,0,0,0,0,0,601.07,3.15,0,0,154.2,0,0,3.15,15.73,0,0,0,0,0
 14-21,0,0,0,5,3,0,5,1,0,0,0,0,0,0,0,2,0,0,4,97,1,0,0,2,2,0,11,0,7,27,0,0,0
 24-34,0,0,0,7.39,2.46,0,39.4,5.75,0,0,0,0,0,0.82,0.82,22.16,0.82,0,7.39,316.03,0,1.64,3.28,0,4.1,0,0,0,1.64,69.77,0,0.82,0.82
 36-46,0,0,0,4.03,0.81,0,149.85,4.03,0,0,0,0,0.81,0,0.81,25.78,0.81,0.81,4.83,259.43,0,1.61,0,0,1.61,0,2.42,0,0,62.84,0,2.42,0
 48-58,0,0,0,2.87,0.57,0,136.57,5.16,0,0,0.57,0,1.72,0.57,0,26.4,0,0.57,5.16,88.94,0,1.15,1.15,0,0,0,0,0,0,11.48,0,0.57,0
 60-70,0,0,0,3.93,0,0,140.36,9.82,0,0,1.96,0.98,0,0.98,0,28.46,0,0.98,3.93,69.69,0,1.96,0.98,0,2.94,0,0,0,0,3.93,0,0.98,0
 72-82,0,0,0,0.98,0.98,0,31.41,3.93,0.98,0,0.98,0.98,0.98,0,0,16.69,0,0,2.94,29.45,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,4.25,1.06,0,35.05,2.12,2.12,0,1.06,1.06,2.12,0,0,25.49,0,0,2.12,35.05,0,0,0,0,1.06,0,0,0,0,1.06,1.06,3.19,0
 96-106,0,0,0,0,0,0,15.3,2.19,1.09,0,0,0,1.09,0,1.09,7.65,0,0,2.19,15.3,0,0,0,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0.77,0.77,21.45,2.3,1.53,0,0.77,0,0,0,0,3.06,0,0,1.53,19.15,0,0,0.77,0,0.77,0,0,0,0,0,0.77,2.3,0
120,0,0,0,1.96,5.88,0,37.24,5.88,0,0,3.92,0,0,1.96,0,5.88,0,1.96,3.92,43.12,0,0,0,0,1.96,0,0,0,0,0,1.96,3.92,0
