stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,57.83,0,0,0,26.29,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,3.28,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0,0,1.61,0,1.61,0,0,1.61,0,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,2.87,0,0.57,0,0,1.72,0,0,0.57,0,0,0.57
 60-70,0,0,0,0.98,0,0,1.96,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0,1.96,0.98,0,0,0,0,0,0.98,0.98,0,2.94,0,0,0,0.98,0,0
 84-94,0,0,0,2.12,1.06,0,3.19,1.06,0,1.06,0,0,0,1.06,0,0,0,1.06,0,0,0,0,10.62,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,2.19,0,0,0,0,1.09,0,0,1.09,1.09,0,2.19,0,1.09,1.09,0,4.37,0,0,0,0,0,0
108-118,0,0,0,6.13,0,0.77,3.06,0,0,0,0,1.53,0,0,0.77,0.77,0,0.77,0,0,0,0,1.53,0.77,0,0,0,0.77,0
120,0,0,0,7.84,0,0,0,3.92,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,9.8,0,0,0,0,0,0
