stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,12,1,0,4,0,1,0,4,1,4,0,0,2,0,0,1,0,7,0,0,6,97,4,1,2,8,0,0,2,9,0,9,13,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,3.28,0,0,0,3.28,0,1.64,0,0,6.57,0,0,0.82,0,9.03,0,0.82,6.57,58.28,1.64,4.1,2.46,0,0,0,0,0,0.82,0,5.75,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,4.83,0.81,0.81,0,0,1.61,0,0,0.81,0,9.67,0,0,4.83,120.04,0.81,12.89,0,0,0,0,0,0,0,0,8.06,0,0.81,0,0.81
 48-58,0,0,0,0,1.15,0,0,15.49,0,0.57,0,9.18,0,0,0.57,0,2.87,0,0.57,0,0,7.46,0,0,1.72,152.06,0,9.75,0.57,0,0,1.15,0,0,0.57,0,9.18,0,2.87,0,2.87
 60-70,0,0,0,0,0,0,0,10.8,0,0,0,27.48,0,0,0,0,2.94,0,0,0,1.96,8.83,0,0.98,0.98,337.64,0,10.8,0,0,0,1.96,0,0,0,0,17.67,0,4.91,0,1.96
 72-82,0,0,0,0,4.91,0.98,0,50.06,0.98,0,0,52.03,0,0,0,7.85,8.83,0,0.98,0,0,34.36,0,2.94,0.98,444.69,0,28.47,0.98,0,0,0,0,0,0,0,11.78,1.96,7.85,2.94,4.91
 84-94,0,0,0,0,8.5,1.06,0,35.05,1.06,0,0,31.86,0,1.06,2.12,8.5,16.99,1.06,0,0,0,28.68,0,7.43,2.12,225.15,0,6.37,0,0,0,1.06,0,0,0,0,4.25,1.06,6.37,1.06,3.19
 96-106,0,0,0,0,8.74,4.37,0,52.46,1.09,0,1.09,65.57,1.09,0,2.19,20.76,17.49,0,0,1.09,0,37.16,0,3.28,3.28,201.08,0,30.6,2.19,0,1.09,0,0,0,0,0,6.56,2.19,21.86,5.46,5.46
108-118,0,0,0.77,0.77,11.49,4.6,0.77,36.77,0,0,2.3,51.32,0,0,0.77,31.4,15.32,0,0.77,0,0,26.81,0.77,2.3,2.3,294.13,2.3,16.85,0.77,0,1.53,4.6,0.77,0,0,0,3.06,0.77,12.26,5.36,10.72
120,0,0,0,0,7.84,0,0,41.16,0,1.96,0,33.32,0,0,0,9.8,9.8,1.96,0,0,0,17.64,0,3.92,5.88,229.29,0,7.84,1.96,0,0,0,0,0,1.96,0,1.96,0,7.84,0,3.92
