stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,245.19,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,21.03,0,0,5.26,68.35,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,12.59,53.5,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,0,0,1,1,0,0,6,0,0,0,2,1,1,4,0,0,0,161,0,2,2,0,0,0,0
 24-34,0,0,0,1.64,3.28,0.82,1.64,0,2.46,0,0.82,3.28,0,0,0,2.46,0.82,2.46,13.95,6.57,0.82,0,274.99,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,1.61,0.81,0.81,0,0,0,2.42,0,0,1.61,6.45,2.42,0.81,10.47,12.89,1.61,0,237.67,2.42,0,2.42,0,0,0,0
 48-58,0,0,0,0,1.72,1.72,0,0.57,0.57,0,0,0,0,0,1.15,8.03,0.57,0.57,4.59,6.31,2.3,0,111.89,0.57,0,1.15,0,0,0,0
 60-70,0,0,0,0,10.8,1.96,2.94,1.96,0,0,0,3.93,0,0.98,1.96,45.15,1.96,0,6.87,0.98,3.93,0,166.86,0.98,0,1.96,0.98,0,0,0
 72-82,0,0,0,0,12.76,2.94,1.96,1.96,0.98,0,0,6.87,0,1.96,0.98,58.9,0,0,2.94,1.96,4.91,0,124.67,0.98,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,19.12,2.12,5.31,0,5.31,0,0,11.68,0,0,0,65.85,3.19,1.06,1.06,2.12,3.19,0,418.44,0,0,0,3.19,0,0,1.06
 96-106,0,0,0,0,36.06,3.28,6.56,1.09,4.37,0,0,13.11,1.09,0,0,43.71,4.37,0,10.93,4.37,8.74,0,359.55,1.09,0,0,3.28,0,0,0
108-118,0,0,0,0,35.23,0.77,8.43,1.53,8.43,0,1.53,16.09,0,0,0.77,18.38,3.83,0,4.6,0.77,8.43,0,226.73,0.77,0,0,5.36,0,0,0.77
120,0,0,0,0,23.52,0,5.88,0,1.96,0,0,11.76,0,0,0,11.76,0,0,0,1.96,3.92,0,186.18,0,0,0,0,0,0,0
