stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,13.14,0,0,21.03,0,42.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,22.03,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,6.29,0,0,15.73,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,16,6,0,2,0,0,0,1,3,1,0,2,0,0,0,0,7,1,0,8,68,3,0,1,2,0,23,1,4,2,0,2,52,0,0,0,0,0
 24-34,0,0,0.82,0,10.67,0.82,0,13.13,0,2.46,1.64,4.1,0.82,1.64,0,6.57,0,0,1.64,1.64,32.83,1.64,0,14.78,362.82,0.82,13.95,1.64,0,0,66.49,0,0,4.1,1.64,4.1,114.92,0,0,16.42,0,0.82
 36-46,0,0,0,0.81,9.67,0,0,24.98,0,0.81,2.42,11.28,2.42,2.42,0,0,0.81,0,0.81,2.42,45.12,0.81,0.81,14.5,824.2,0,7.25,2.42,0,0.81,52.37,0,0,2.42,0,0,203.83,0,0,5.64,0.81,1.61
 48-58,0,0,0,0,11.48,0,0,123.94,0,1.15,4.59,25.25,0.57,1.72,0,0,0.57,0.57,1.15,1.15,78.61,2.3,2.3,14.92,980.63,1.15,5.16,2.3,0,0.57,43.04,0,0,1.72,0,0,218.05,0,0,7.46,0,3.44
 60-70,0,0,0.98,0,7.85,0,0,308.2,0,1.96,0.98,24.54,4.91,0.98,0,0,0.98,0.98,1.96,0.98,93.24,1.96,3.93,9.82,1366.28,0.98,13.74,7.85,0,0.98,39.26,0,0,1.96,0,0,194.34,1.96,1.96,4.91,0.98,1.96
 72-82,0,0,3.93,0,8.83,0,0,264.07,0,0,5.89,45.16,5.89,3.93,0,1.96,0.98,4.91,1.96,0.98,107.98,0,9.82,6.87,889.39,0,13.74,12.76,0,1.96,34.36,0,0,4.91,0,0,90.31,3.93,3.93,6.87,5.89,3.93
 84-94,0,0,3.19,0,20.18,0,0,154,0,6.37,2.12,45.67,19.12,1.06,1.06,3.19,1.06,0,1.06,5.31,57.35,5.31,12.74,7.43,457.74,0,5.31,4.25,0,1.06,115.76,0,0,7.43,0,0,48.85,4.25,4.25,10.62,4.25,7.43
 96-106,0,0,5.46,0,13.11,3.28,0,162.83,0,6.56,0,46.99,27.32,2.19,5.46,1.09,1.09,2.19,3.28,0,67.76,4.37,5.46,6.56,358.45,1.09,22.95,7.65,0,3.28,77.59,0,0,8.74,0,0,20.76,2.19,1.09,9.84,4.37,4.37
108-118,0,0,6.13,0,20.68,0.77,3.83,110.3,0,2.3,1.53,29.87,28.34,1.53,0,6.13,3.83,1.53,3.06,5.36,51.32,4.6,0.77,7.66,330.9,0,14.55,16.09,0,0.77,65.11,0,0,5.36,0,0,9.19,3.83,0.77,9.96,2.3,5.36
120,0,0,5.88,0,25.48,0,0,105.83,1.96,11.76,1.96,29.4,41.16,0,0,1.96,1.96,1.96,1.96,5.88,41.16,3.92,3.92,5.88,374.32,0,9.8,5.88,0,0,56.83,0,0,3.92,0,0,13.72,0,5.88,5.88,0,1.96
