stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
 24-34,0,0,0.82,0.82,5.75,0,4.1,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,0,0,15.6,0.82,0,1.64,0,6.57,0,0,2.46,0,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,10.47,0,0.81,0,0,3.22,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,0,5.16,0.57,0.57,0,0,0,0,0,0,0,0,0.57,0.57,0,1.15,14.92,0,0,1.72,0,1.15,0,0,4.02,0,0
 60-70,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,13.74,0,0.98,0.98,0,3.93,0,0,1.96,0.98,0.98
 72-82,0,0,0,0,2.94,0.98,0.98,0,2.94,0.98,0.98,0,0,0.98,0,0,0,0,2.94,0.98,0,19.63,0,0.98,0.98,0,2.94,0,0,2.94,0,0
 84-94,0,0,0,0,1.06,0,6.37,0,1.06,0,0,0,0,0,0,0,0,0,3.19,0,1.06,8.5,0,0,2.12,0,5.31,0,1.06,0,0,0
 96-106,0,0,0,0,5.46,0,6.56,0,0,2.19,0,0,0,0,0,2.19,0,0,2.19,2.19,0,6.56,0,2.19,3.28,0,13.11,0,0,0,0,0
108-118,0,0,0,0,3.83,0,1.53,0,0,1.53,0,0,0.77,0,0.77,0,0.77,0,0.77,1.53,0.77,3.83,0,0,0.77,0,3.06,0.77,0,0,0,0
120,0,0,0,0,3.92,0,1.96,0,1.96,3.92,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,9.8,0,0,0,0,1.96
