stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,52.57,0,2.63,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,115.66,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,3.15,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.29,9.44,0,0,69.23,0,3.15,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,15,7,0,12,0,0,0,3,1,1,0,0,2,0,0,0,1,15,0,6,148,6,1,1,2,0,2,24,2,4,24,40,0,0,0,0,2
 24-34,0,0,1.64,0.82,5.75,0.82,0,36.12,0,0,0.82,2.46,2.46,0.82,0,1.64,1.64,0.82,0,0.82,1.64,24.63,0,14.78,362.82,1.64,7.39,6.57,0,0,13.13,0.82,1.64,1.64,6.57,72.24,0,0,7.39,0,0.82
 36-46,0,0,0.81,0,8.86,0,0,43.51,0,0.81,1.61,12.09,0,0,0,2.42,1.61,0,0,0.81,0.81,26.59,2.42,5.64,361.75,0,5.64,0.81,0,0,8.06,0,2.42,0,0,80.57,0,0,1.61,0,1.61
 48-58,0,0,0,0,2.87,0.57,0,74.02,0.57,0,2.3,22.95,1.15,0,0,0.57,1.15,1.15,0.57,0.57,0.57,36.72,1.15,5.16,280.59,0,3.44,1.72,0,0,4.02,0,0.57,0.57,0,63.12,0,0,4.59,0,1.72
 60-70,0,0,0,0,2.94,0,0,137.41,0.98,0,0.98,22.58,2.94,0,0,1.96,0.98,1.96,0.98,1.96,1.96,39.26,2.94,5.89,334.7,0,3.93,2.94,0,0.98,6.87,0,0,3.93,0,48.09,0.98,0.98,0.98,0,1.96
 72-82,0,0,0.98,0,5.89,0.98,0,163.94,0.98,0,0.98,27.49,0,0,0,2.94,0.98,0.98,1.96,0.98,0.98,34.36,2.94,4.91,216.95,0,6.87,1.96,0,0,1.96,0,0.98,0,0,16.69,0,0.98,10.8,0.98,1.96
 84-94,0,0,2.12,1.06,4.25,3.19,3.19,118.95,3.19,0,1.06,27.61,7.43,0,0,2.12,6.37,3.19,1.06,1.06,1.06,26.55,1.06,1.06,126.38,0,3.19,5.31,0,1.06,24.43,0,5.31,1.06,0,11.68,0,2.12,3.19,1.06,2.12
 96-106,0,0,0,0,9.84,3.28,3.28,64.48,2.19,0,0,33.88,5.46,0,0,3.28,5.46,2.19,2.19,5.46,0,28.41,2.19,5.46,100.54,1.09,3.28,7.65,0,0,15.3,0,1.09,0,0,6.56,1.09,0,6.56,2.19,1.09
108-118,0,0,0.77,0,6.13,1.53,3.83,66.64,0.77,2.3,1.53,39.83,6.89,0,0.77,0.77,3.06,8.43,3.06,3.83,0,26.81,0.77,5.36,148.6,0.77,3.06,8.43,0,0.77,11.49,0,0.77,0.77,0,3.83,0,0.77,9.19,1.53,0.77
120,1.96,0,1.96,0,5.88,1.96,3.92,45.08,3.92,0,1.96,11.76,1.96,0,0,7.84,0,0,0,1.96,0,21.56,0,5.88,123.47,1.96,3.92,1.96,0,0,5.88,0,0,1.96,0,1.96,1.96,0,1.96,0,0
