stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,17,39,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,20.52,0,0,0,1.64,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,11.28,0,19.34,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,1.15,0.57,0,0,0.57,0,0,0,0,0,0,0,15.49,0,12.05,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,10.8,0,0,0,0,0,0.98,0,0,0,0,0,15.7,0,6.87,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,0,29.45,0,0,0,0,0,0,14.72,0.98,0.98,1.96,0.98,24.54,0,33.38,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,7.43,0,0,1.06,2.12,0,0,18.05,0,0,1.06,1.06,9.56,0,22.3,1.06,0,1.06,0,0,2.12,0
 96-106,0,0,0,1.09,0,1.09,8.74,1.09,3.28,0,0,0,0,45.9,0,1.09,4.37,0,15.3,0,40.44,5.46,0,1.09,0,0,1.09,0
108-118,0,0,0,0.77,0,0,7.66,0,0,0,0.77,0,0,44.43,0,0,1.53,0,15.32,0.77,28.34,2.3,0,0,0,0,0.77,1.53
120,0,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,72.51,0,0,1.96,0,11.76,0,11.76,5.88,0,0,0,0,0,0
