stage,epidermis,eye,fin.epithelia,glial,gut,iridophores,liver,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,4.83,0.81,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,2.94,0,0.98,0,0,0,0,0
 72-82,0.98,1.96,0,0,0,0,0,1.96,0.98,16.69,0,0,0,0.98,0
 84-94,0,1.06,0,0,0,0,0,2.12,0,12.74,0,0,0,0,0
 96-106,1.09,0,0,1.09,0,0,0,3.28,0,17.49,0,0,0,1.09,0
108-118,0,2.3,0.77,0,0.77,0,0.77,3.06,0.77,26.04,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,15.68,0,0,0,1.96,1.96
