stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,1,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,1,0,1,3,0,0
 24-34,0,1.64,0,0,0,0.82,0,0,0,0.82,0,0,13.13,0,0,0,0,0,0,4.1,0,0
 36-46,0.81,1.61,0,0,0,0,0,0,0,0.81,0,0,16.92,0,0,0,0,0,0,4.03,0,0
 48-58,0,2.3,0,0,0,0,0,0,0,1.72,0,0,26.4,0.57,0,0.57,0,0,0,4.59,0,1.15
 60-70,0,9.82,0,0,0,0,0,0,0,0.98,0,0,23.56,0,0.98,0,0,0,0,2.94,0,0.98
 72-82,1.96,10.8,0,0,2.94,0,0.98,0.98,0,3.93,0,0,18.65,0,0,0,0,0,0,1.96,0.98,0.98
 84-94,0,8.5,0,1.06,2.12,0,0,0,0,1.06,0,0,12.74,0,0,0,0,0,0,1.06,0,0
 96-106,0,6.56,0,0,2.19,0,0,0,1.09,1.09,0,0,13.11,0,1.09,1.09,0,0,0,1.09,1.09,0
108-118,0.77,6.89,0,0.77,1.53,0,0,0,0,3.83,0,0,13.79,0,0.77,1.53,0,0,0,2.3,0,0
120,1.96,5.88,1.96,0,1.96,0,0,0,0,9.8,1.96,0,23.52,0,1.96,1.96,0,1.96,0,0,0,0
