stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,245.19,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,55.2,5.26,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,69.23,6.29,0,0,47.2,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,14,1,0,0,1,0,3,2,1,1,2,6,0,1,0,0
 24-34,0,0,0,0,3.28,0,2.46,0,0,0,0,0,0,0.82,3.28,0,0,0,2.46,0,0,1.64,44.33,0.82,0,0,0,0,2.46,0,0.82,0,0,18.88,0,1.64,0,0
 36-46,0,0,0,0,0,0,5.64,0,0.81,1.61,0,0,0,0,0.81,0,0,0.81,4.83,0,0,1.61,41.09,0,1.61,0,0,0,0.81,0,0.81,0,0,11.28,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,12.62,0,0,3.44,0,0.57,0.57,0.57,0,0,0,0.57,4.02,1.15,0,0.57,45.9,0,1.72,1.15,0,0,0.57,0,0,0,0,13.2,0,1.72,0,0
 60-70,0,0,0,0,1.96,0,23.56,0.98,0,2.94,0,0,0,0,0.98,0.98,0.98,0,7.85,0.98,0,0.98,52.02,0,0.98,1.96,0,1.96,1.96,0,0,0,0,4.91,0.98,0,0,1.96
 72-82,0,0,0,0,0.98,0.98,19.63,0,0,7.85,0.98,0,0,0,0.98,0,0,1.96,8.83,0,0,0,42.21,0,0,0,0,0,5.89,0,0,0,0,4.91,0,1.96,0,0.98
 84-94,0,0,0,0,2.12,0,15.93,1.06,0,9.56,1.06,1.06,0,5.31,4.25,0,0,1.06,6.37,0,0,1.06,22.3,1.06,0,0,0,0,3.19,0,0,0,0,6.37,0,2.12,0,1.06
 96-106,0,0,0,0,1.09,0,14.21,0,0,9.84,2.19,0,0,2.19,2.19,0,0,1.09,9.84,1.09,0,2.19,15.3,0,2.19,1.09,0,0,6.56,0,1.09,0,0,1.09,0,3.28,0,1.09
108-118,0,0,0.77,0,2.3,1.53,9.19,0.77,0,5.36,0.77,0,0,3.06,2.3,3.06,0.77,0.77,3.06,0.77,0.77,2.3,29.11,0,0,0.77,0,0.77,4.6,0,0,0,0,0,0,3.06,0,3.06
120,0,0,0,0,1.96,0,7.84,0,0,5.88,3.92,0,0,3.92,0,0,0,0,3.92,0,0,0,23.52,0,0,1.96,0,0,3.92,0,0,0,0,0,0,1.96,1.96,0
