stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,19,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,20.52,0,0,0,0,0,0,0,0,0.82,0,4.1,0,2.46,20.52,0,1.64,0,0,0,0.82,0,0.82,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,16.92,0,0,2.42,0,0,0.81,0,0,0,0,1.61,0.81,1.61,22.56,0,0,0,0,0,0,0,0,0.81,6.45,0,0,0.81,0,0
 48-58,0,0,0,0,0,13.77,0,0,3.44,0,0,0,0,0,0,0.57,2.3,0,0,13.77,0,0,0,0,0,0.57,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0.98,0,0,7.85,0,0,2.94,0.98,0,0,0,0,0,0.98,2.94,0,0,17.67,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,8.83,0,1.96,5.89,0,0.98,0.98,0.98,0.98,0,0,17.67,0.98,1.96,12.76,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,4.25,0,1.06,6.37,0,0,2.12,0,0,0,1.06,0,1.06,0,7.43,1.06,1.06,6.37,2.12,1.06,0,0,0,0,0,1.06,0,2.12,0,1.06,0,0,0
 96-106,0,0,0,0,0,2.19,0,1.09,3.28,0,0,0,0,0,1.09,0,4.37,0,0,6.56,0,1.09,1.09,0,0,0,0,1.09,0,0,2.19,0,0,1.09,1.09
108-118,0,0,1.53,0,0,3.83,0,0,6.89,0,0,0,1.53,0,0,0,6.13,0,0.77,6.89,0,0,0,0,0.77,0.77,0,0,0,0,0.77,0.77,0.77,0,0
120,0,0,1.96,0,0,11.76,1.96,0,3.92,0,0,0,0,0,0,0,7.84,0,0,5.88,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0
