stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,22.03,6.29,0,0,3.15,0,0,0,0,3.15,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,1,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,0.82,0,0.82,13.95,0,0,0.82,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,15.31,0,0,0,0,0.81,0,0,0,1.61,1.61
 48-58,0,0,0,0.57,0,7.46,1.72,0.57,0,1.72,0.57,1.15,9.75,0,0,0,0,0,0,0.57,0,1.15,0
 60-70,0,0,0,2.94,0,8.83,0.98,0,0,0.98,0.98,0,15.7,0,0,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,0,2.94,0.98,0,0.98,3.93,0,0,17.67,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,8.5,0,0,0,2.12,0,0,8.5,0,1.06,0,0,1.06,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,3.28,2.19,0,0,1.09,0,1.09,6.56,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,1.53,0,0,0,3.83,0,0,6.89,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,1.96,1.96,0,0,0,0,0,15.68,0,1.96,0,0,0,0,0,0,0,0
