stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,70,0,0,0,0,1,0,2,0,54,1,0,0,0,33,0,0,1,1,0,1,2,3,0,0,0,0,63
 24-34,0,0.82,0,2.46,0.82,187.16,0,0,0.82,0,11.49,0,4.1,0.82,146.93,8.21,0,0.82,6.57,69.77,0.82,0.82,0,3.28,0,0,0,12.31,0,0,7.39,0,197.83
 36-46,0,0,0,1.61,0,113.6,0,0,0.81,0,7.25,0,1.61,0,131.32,0,0,0,1.61,33.84,0.81,0,0,1.61,0.81,0,0,4.03,0,0,2.42,0,136.96
 48-58,0,0,0,0.57,0,115.33,0,0.57,1.15,0,1.15,0,1.72,0,90.66,2.87,0.57,1.15,1.15,14.92,0,0,0,0,0,0,0,4.02,0,0,2.87,0,115.91
 60-70,0,0,0,0.98,0,101.1,0,0,2.94,0,0,0,0.98,0,51.04,0.98,0,0,0,7.85,1.96,0,0,0,0,0,0,1.96,0,0,0,0,52.02
 72-82,0,0,0,0,0.98,71.66,0,0,0.98,0,6.87,0,1.96,0,43.19,1.96,0,0,0,13.74,0,0,0,2.94,0,0,0,0,0,0,1.96,0,55.95
 84-94,0,0,0,0,1.06,138.06,0,0,1.06,0,9.56,1.06,5.31,0,90.27,0,0,0,0,6.37,0,0,0,2.12,0,0,0,1.06,0,0,1.06,0,54.16
 96-106,0,0,0,3.28,0,89.61,1.09,1.09,1.09,0,8.74,0,5.46,1.09,63.39,2.19,0,1.09,0,9.84,0,0,0,6.56,0,1.09,0,0,1.09,1.09,3.28,1.09,66.66
108-118,0,0,0.77,2.3,1.53,108.77,0,0,0,0,5.36,0,3.06,0.77,81.19,6.13,0,0,0,4.6,0,0,0,1.53,0,0,0,0,0,0,0.77,0,60.51
120,0,0,0,0,0,25.48,0,0,0,0,3.92,0,1.96,1.96,31.36,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,3.92,0,27.44
