stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,35,0,0,0,0,0,0,2,0,0,1,12,0,0,0,0,0
 24-34,0,0,3.28,12.31,0,10.67,0,0,0.82,0,0,0,0,0,0.82,0,0,0,4.1,0,0,2.46,90.29,4.1,0.82,0,0,0.82,0,0,0,0,0,22.16,0,0,0,0,0
 36-46,0,0,0,5.64,0,10.47,0.81,0,0.81,0,0.81,0,0,0,0.81,0,0,0,5.64,0,0.81,0,162.75,7.25,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0,0
 48-58,0,0,0.57,2.3,0,32.13,1.15,0,0,1.72,0,1.15,0.57,0,0,0,0.57,0,6.89,0,0,1.72,152.63,2.3,0.57,0,0.57,0,0,0,0,0,0,16.64,0,0,0.57,0,0.57
 60-70,0,0,0,2.94,0,244.4,0.98,0.98,1.96,1.96,0,0,0,0,0,0,0,0,9.82,0,0.98,1.96,167.84,2.94,0,0,0,0.98,0,0,0,0.98,0,23.56,0,0.98,0.98,0,0
 72-82,0,0,0,4.91,0.98,572.31,1.96,0,2.94,14.72,0,0,0.98,1.96,0,0.98,1.96,0,18.65,0.98,1.96,1.96,172.77,3.93,1.96,0,0,0.98,0,0,0,0,0,20.61,0,4.91,1.96,1.96,0
 84-94,0,0,0,5.31,1.06,566.07,4.25,0,4.25,9.56,0,1.06,0,0,0,0,1.06,0,24.43,0,0,3.19,104.08,4.25,3.19,0,0,5.31,0,0,0,0,0,9.56,0,7.43,1.06,1.06,0
 96-106,0,0,0,7.65,1.09,409.82,8.74,0,3.28,8.74,0,0,0,1.09,1.09,1.09,3.28,0,13.11,0,0,2.19,92.89,5.46,9.84,0,0,0,0,0,0,0,0,9.84,0,3.28,1.09,0,1.09
108-118,0,0,0,5.36,0.77,285.7,3.06,0.77,1.53,12.26,0,0,0,0.77,0,0,0.77,2.3,10.72,0,0.77,2.3,98.04,6.13,5.36,0,0,2.3,0,0,0.77,0,0,5.36,0.77,3.06,0.77,0,0
120,0,0,0,1.96,0,248.89,5.88,1.96,5.88,13.72,0,0,0,1.96,0,0,1.96,0,7.84,0,0,5.88,78.39,3.92,1.96,0,1.96,7.84,0,0,0,0,0,3.92,0,1.96,0,0,0
