stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,9,1,35,5,0,12,0,4,0,15,1,6,0,0,6,0,2,1,12,8,2,0,11,536,16,4,2,6,0,94,9,2,113,361,290,0,0,0,0,1
 24-34,0,3.28,1.64,15.6,0.82,0,22.16,3.28,14.78,0,15.6,0,13.95,2.46,0.82,9.03,0,13.95,0.82,50.89,13.95,9.85,0,16.42,1146.74,14.78,18.88,4.1,0,0,142.01,0.82,3.28,40.22,119.84,452.29,0,0,1.64,0,5.75
 36-46,0,0.81,0.81,7.25,0.81,0,62.04,5.64,1.61,0,22.56,0,4.83,8.86,0.81,1.61,0.81,11.28,0,53.17,16.92,8.06,0,12.09,1650.01,8.86,26.59,0.81,0,0,116.02,0,4.03,30.62,0.81,462.45,0,0,0,0,4.03
 48-58,0,1.15,0.57,15.49,0.57,0,267.97,8.61,2.3,2.3,55.66,1.15,5.16,4.59,0.57,2.87,1.15,10.33,0.57,51.07,30.41,22.95,1.72,26.97,1692.15,2.3,28.69,1.72,0,0,87.22,0,1.15,29.26,0,333.38,0,0.57,1.15,0,3.44
 60-70,0,0,0.98,10.8,0.98,0,583.02,24.54,2.94,1.96,46.13,4.91,0,0,0,1.96,0.98,8.83,0,25.52,60.85,19.63,1.96,19.63,1487.99,1.96,32.39,3.93,0,1.96,124.65,0,2.94,16.69,0,237.53,0.98,0.98,2.94,0,5.89
 72-82,0,7.85,1.96,24.54,2.94,0,644.95,20.61,3.93,2.94,61.84,36.32,2.94,1.96,1.96,2.94,0.98,11.78,0,30.43,149.21,46.14,3.93,20.61,1210.39,5.89,69.7,2.94,0,4.91,126.63,0,0.98,14.72,0,111.91,7.85,3.93,3.93,0.98,8.83
 84-94,0,5.31,3.19,41.42,1.06,0,412.07,18.05,6.37,1.06,43.54,38.23,5.31,4.25,4.25,9.56,4.25,7.43,0,57.35,115.76,43.54,2.12,22.3,567.13,4.25,53.1,5.31,0,0,395.08,0,2.12,27.61,0,70.09,20.18,0,0,0,6.37
 96-106,0,7.65,2.19,40.44,9.84,1.09,373.75,33.88,8.74,4.37,37.16,74.31,1.09,5.46,3.28,9.84,8.74,29.51,1.09,41.53,111.47,62.29,7.65,12.02,528.94,0,102.73,6.56,1.09,1.09,358.45,0,5.46,26.23,0,27.32,27.32,7.65,3.28,1.09,7.65
108-118,0,4.6,9.19,29.87,6.13,2.3,300.26,36,5.36,3.06,28.34,100.34,0,1.53,3.06,20.68,9.19,21.45,1.53,56.68,78.13,62.04,11.49,25.28,628.86,2.3,68.94,2.3,0,2.3,273.45,0,3.83,16.09,0,26.04,54.38,1.53,1.53,2.3,7.66
120,0,7.84,1.96,27.44,1.96,3.92,323.36,31.36,5.88,5.88,52.91,50.95,0,0,1.96,3.92,1.96,13.72,7.84,19.6,96.03,47.03,5.88,29.4,758.44,0,35.28,5.88,0,0,195.98,1.96,1.96,5.88,0,39.2,15.68,3.92,1.96,3.92,5.88
