stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,somites,vasculature
  3-4,26.36,1001.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,24.52,717.17,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,24.52,0,0,0
  7-9,2.63,0,10.51,0,0,55.2,0,2.63,0,0,0,0,0,0,0,223.44,0,49.95,0,0,0,0
 10-12,0,3.15,3.15,0,0,31.47,0,0,0,0,0,0,0,0,0,47.2,0,15.73,3.15,3.15,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,0,0,0,1.09,1.09,0,2.19,0,0,1.09,0,0,0,0,0
108-118,0,0,0,4.6,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,9.8,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0
