stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,39.53,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,165.5,324.87,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,36.78,0,0,30.65,0,0,0,0,0,0
  7-9,252.36,15.77,10.51,0,0,0,0,0,0,0,10.51,0,0,0,0,120.92,241.84,0,0,762.33,2.63,0,0,0,0,0
 10-12,0,12.59,37.76,0,0,0,0,0,0,0,3.15,0,0,0,0,53.5,66.09,0,0,320.99,0,0,62.94,0,0,0
 14-21,0,0,0,7,22,0,0,0,0,0,0,0,3,0,2,3,114,0,0,145,0,35,0,7,18,0
 24-34,0,0,0,0.82,1.64,0,0,1.64,0,0,0,0,0,0,0.82,4.1,18.88,0,0,0,0,0,0,6.57,9.85,0.82
 36-46,0,0,0,0,0,0,0,5.64,0,0,0,0,1.61,0.81,0,7.25,29,0,0,0,0,0,0,0,9.67,0
 48-58,0.57,0,0,0,0,0.57,0,1.72,0,0,0.57,0,1.72,0,0,5.74,28.12,1.15,0,0,0,0,0,0,2.87,0
 60-70,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0.98,1.96,0,0,3.93,29.45,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,2.94,0,1.96,0,0,0,0,0,0,0,4.91,38.28,0,0,0,0,0,0,0,0,0
 84-94,1.06,0,0,2.12,0,2.12,0,1.06,0,0,0,0,1.06,0,0,3.19,58.41,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,1.09,0,0,0,0,0,3.28,0,1.09,8.74,41.53,0,2.19,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,0,1.53,0,0,0.77,0.77,0,0,0.77,0,0,3.06,67.4,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,68.59,0,0,0,0,0,0,0,0,0
