stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,28.92,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,18.88,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,34,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,2,0,0,0,8,0,0,0,0,5,1,1,8,1,0,8,0,0,22,0,0
 24-34,0,0,0,0,3.28,4.93,0,4.93,0,1.64,0,0,2.46,0,3.28,0,20.52,0,0,0,0,4.1,2.46,0,2.46,30.37,0,0,0,0,53.36,0,0,4.93,0,1.64,9.85,0,0,138.72,0,0
 36-46,0,0,0,0,1.61,0.81,0,25.78,0,0.81,0,0.81,2.42,0.81,3.22,0,6.45,0,0,0,0.81,5.64,4.03,0,0.81,46.73,0,0,0,0,37.87,0.81,0,3.22,0,0,8.86,0,0,61.23,0,0.81
 48-58,0,0,0,0,5.16,0.57,0,136.57,0,1.72,0.57,1.15,0,1.15,5.74,0,1.15,0,0,0.57,0,6.31,4.02,0,2.3,103.86,0.57,1.15,0.57,0,33.28,0,0,1.15,0,0,14.35,0,0,50.49,0,0
 60-70,0,0,0,0,6.87,0,0,528.06,1.96,3.93,0,3.93,1.96,0.98,6.87,1.96,3.93,0,0,0,0,21.59,5.89,0,6.87,209.06,1.96,0.98,1.96,0,48.09,0,0,2.94,0,0,13.74,0,0.98,46.13,0,1.96
 72-82,0,0,0,0,14.72,2.94,12.76,381.87,10.8,0.98,0,5.89,6.87,0.98,4.91,0.98,3.93,0.98,0,0,0,38.28,7.85,0.98,4.91,144.3,0,0,4.91,0,47.12,0,0,0.98,0,0,7.85,0,0,91.29,0,2.94
 84-94,0,0,1.06,0,20.18,0,16.99,261.26,7.43,3.19,0,10.62,11.68,0,2.12,2.12,11.68,0,0,0,0,27.61,11.68,0,5.31,75.4,1.06,0,1.06,0,124.26,0,0,6.37,1.06,0,2.12,1.06,0,56.29,0,0
 96-106,0,0,0,0,28.41,3.28,43.71,159.56,15.3,2.19,0,3.28,14.21,0,1.09,2.19,12.02,0,1.09,1.09,0,25.14,12.02,2.19,4.37,84.15,1.09,1.09,3.28,0,137.7,1.09,0,6.56,0,0,2.19,0,0,59.01,2.19,0
108-118,0,0,0,0,21.45,0.77,121.02,133.28,14.55,6.13,0,4.6,22.98,0,0.77,2.3,8.43,0.77,0,3.83,0,16.85,7.66,4.6,6.89,75.06,0,0.77,3.06,0,101.11,0,0,3.06,0,0,2.3,0,0,49.79,0,0.77
120,0,0,0,0,27.44,1.96,43.12,88.19,7.84,5.88,0,5.88,25.48,0,0,3.92,7.84,1.96,0,1.96,0,13.72,11.76,1.96,7.84,64.67,0,0,1.96,0,88.19,0,0,3.92,0,0,0,0,0,56.83,0,0
