stage,blastomeres,epidermis,eye,fast.muscle,glial,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,2.63,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,2.42,0
 48-58,0,0,1.15,0,0,0,0,3.44,0,0,1.72,0
 60-70,0,0,2.94,0,0,0.98,0,4.91,0,0,0,0
 72-82,0,0,5.89,0,0.98,0.98,0,2.94,0,0,2.94,0
 84-94,0,2.12,1.06,0,0,0,0,4.25,0,0,0,0
 96-106,0,0,4.37,0,2.19,1.09,0,3.28,0,0,1.09,1.09
108-118,0,0,3.06,0,0,0,0,1.53,0,0,1.53,0
120,0,1.96,1.96,1.96,0,0,0,3.92,0,0,0,0
