stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,6,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,34.48,0,0,0,0,10.67,0,0,0
 36-46,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,49.95,0,0.81,0,0,20.14,0,0,0
 48-58,0,0,0,40.17,0,0,0.57,0,0,0,0,0,1.15,0.57,56.81,0,0,0,0,10.9,0,0.57,0
 60-70,0,1.96,0,163.91,0,0,1.96,0,0,0,0,0,0,0,123.67,0,0,0,0.98,6.87,0,0,0
 72-82,0,0,0.98,236.58,0,0,4.91,1.96,0.98,0.98,0,0,3.93,0,165.9,0,0.98,0,1.96,9.82,0,0,0.98
 84-94,0,2.12,0,150.81,1.06,1.06,11.68,2.12,0,0,0,0,2.12,0,87.09,1.06,1.06,0,5.31,7.43,1.06,1.06,0
 96-106,0,2.19,1.09,155.18,0,0,10.93,1.09,1.09,0,1.09,0,5.46,1.09,83.06,0,1.09,0,2.19,5.46,0,0,0
108-118,0,0.77,0,115.66,0.77,0,13.02,0.77,0,0.77,0,0.77,0,1.53,71.23,0,0,0,2.3,0.77,0,0.77,0
120,0,0,1.96,119.55,0,0,13.72,0,1.96,0,0,0,1.96,0,121.51,0,1.96,1.96,5.88,5.88,0,5.88,0
