stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0
 24-34,0.82,0,0,0,0.82,0,0,0,0,0.82,0,48.43,0,0.82,0,4.1,0,0.82
 36-46,0,0.81,0.81,0.81,0,0,0.81,0,0,0.81,0,58.81,0,0,0,4.83,0,0
 48-58,0,0,9.75,0.57,0,0.57,1.72,0,0.57,4.02,0.57,71.73,0.57,0,0,8.03,0,0.57
 60-70,0,0,5.89,0,0,0,0.98,0.98,0,2.94,0,25.52,0,0,0,0.98,0.98,0
 72-82,0,0,7.85,0,0,0,0.98,0,0,0,0,21.6,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,5.31,0,0,1.06,0,0,0
 96-106,0,0,2.19,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0,0,0
108-118,0.77,0,0,0,0,0,0,0,0,0,0.77,5.36,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0
