stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,355.8,6140.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0,0
  5-6,177.76,2261.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,15.77,0,0,0,47.32,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,412.71,0,0,0,102.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,34.62,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,437.43,25.18,0,0,110.14,0,6.29,0,22.03,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,54,5,0,9,0,0,0,2,0,2,0,0,1,0,0,0,0,24,0,0,14,207,3,1,0,3,4,0,18,0,4,25,31,0,2,0,0
 24-34,0,0,0.82,0,101.79,0.82,0,21.34,0,7.39,1.64,2.46,0,0.82,0,1.64,0.82,1.64,2.46,0,0.82,48.43,0.82,0,10.67,171.56,4.1,3.28,6.57,0,5.75,0,0,0.82,0,4.1,22.98,0,7.39,0,2.46
 36-46,0,0,0,0,90.23,0,0,13.7,0.81,13.7,3.22,2.42,2.42,0,0.81,2.42,0,0.81,2.42,0,0.81,29,0,0.81,13.7,73.32,7.25,0.81,3.22,0,4.83,0.81,0,0,0,0,12.09,0,4.03,0,3.22
 48-58,0,0,0,0,85.5,0,0,13.77,0.57,25.82,1.15,6.89,0,0,0,0.57,0,2.87,1.15,0,1.15,49.92,0.57,0,6.89,40.74,5.74,0,2.3,0,2.87,0,0,0,0,0,5.74,0,4.02,0,21.8
 60-70,0,0,0,0,114.84,0,0,12.76,0,28.46,0,3.93,0.98,0,0,0.98,0,6.87,0,0,3.93,55.95,1.96,0,6.87,33.37,2.94,0.98,1.96,0,4.91,0,0,0,0,0,6.87,0.98,1.96,0,52.02
 72-82,0,0,0.98,0,122.71,0,0,16.69,0.98,22.58,4.91,12.76,0.98,0,0.98,4.91,0.98,11.78,0,0.98,2.94,88.35,3.93,1.96,6.87,45.16,3.93,0.98,4.91,0,4.91,0,0,0,0,0,1.96,0,3.93,0.98,26.5
 84-94,0,0,0,0,297.37,1.06,0,26.55,0,71.16,0,3.19,1.06,0,0,14.87,1.06,36.11,0,2.12,5.31,43.54,4.25,0,6.37,35.05,1.06,1.06,1.06,0,5.31,0,0,0,0,0,0,1.06,5.31,1.06,37.17
 96-106,0,0,0,0,210.92,3.28,1.09,20.76,0,43.71,1.09,7.65,2.19,0,1.09,14.21,0,25.14,1.09,1.09,3.28,55.74,2.19,1.09,8.74,27.32,0,2.19,1.09,0,7.65,0,0,0,0,0,1.09,0,4.37,0,20.76
108-118,0,0,0,0,230.55,1.53,3.83,16.85,0.77,68.94,0.77,3.83,3.83,0,0,26.04,0,31.4,0.77,1.53,0,50.55,3.06,0,5.36,58.98,4.6,1.53,2.3,0,6.13,0,0,0,0,0,1.53,0.77,1.53,0.77,23.74
120,0,0,0,0,203.82,1.96,0,7.84,5.88,41.16,3.92,3.92,7.84,0,0,29.4,0,37.24,0,3.92,0,45.08,0,0,11.76,45.08,1.96,1.96,3.92,0,3.92,0,0,0,0,0,0,0,5.88,1.96,5.88
