stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,5,35,2,0,0,0,1,0,1,0,0,0,0,0,3,0,0,5,80,0,0,1,1,0,0,0,1,2,4,0,44,0
 24-34,0,0,1.64,12.31,3.28,0,0,0,1.64,0,4.93,0,0,0,0.82,0,13.13,0.82,0,5.75,27.09,0,0,0,0,0,0.82,0,0,0,6.57,0,151.04,0
 36-46,0,0.81,0,4.83,1.61,0,0,0,0,0,2.42,0,0,0,0,0,7.25,0,0.81,1.61,18.53,0,0,0,0,0,0,0,0,0,0.81,0,114.41,0
 48-58,0,0,0,1.72,4.02,0.57,0,0,0.57,0,4.59,0,0,0,1.15,0,12.62,0,0.57,1.72,17.21,0,0.57,0,0,0.57,0,0,0,0,1.15,0,108.45,0
 60-70,0,0,0.98,0,0.98,0.98,0,2.94,1.96,0,9.82,0,0.98,0,0,0,1.96,0,0.98,0.98,11.78,0,0,0,0,0,0.98,1.96,0,0,0.98,0,92.26,0.98
 72-82,0,0,0,0.98,3.93,0,0,1.96,1.96,0,8.83,0,0,0,0,0,3.93,0,0.98,0,5.89,0,0,0,0,0,0.98,0,0,0,0,0.98,129.58,0
 84-94,0,0,1.06,0,4.25,0,0,1.06,0,0,7.43,1.06,0,0,0,0,6.37,0,0,0,7.43,0,0,0,0,1.06,0,0,0,0,0,0,144.44,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,0,10.93,0,2.19,1.09,0,0,1.09,0,0,0,4.37,1.09,0,0,0,0,0,1.09,0,0,0,0,134.42,1.09
108-118,0,0,0,0.77,3.06,0,0.77,0,2.3,0,4.6,0.77,0.77,0.77,0,0,1.53,0,0,2.3,6.13,0,0,0,0,0,0,0,0,0,0,0,94.98,0
120,0,0,1.96,0,1.96,0,0,0,0,0,3.92,1.96,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,115.63,0
