stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.06,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,10.51,0,92,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,28.32,0,47.2,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,66,0,2,0,0,1,11,0,1,4,2,3,0,0,0,688,1,0,4,2,0,0,1,0,0
 24-34,0,0.82,0.82,6.57,1.64,0,9.03,0,0.82,0,0.82,4.1,0,0.82,0,150.22,0,13.13,0,0.82,4.93,36.12,0,2.46,62.39,1.64,45.15,0.82,0,0,1188.6,0,18.06,0.82,5.75,0,0,2.46,0,0.82
 36-46,0,0,0,8.06,4.03,0,2.42,0.81,3.22,0,0.81,4.83,0,0.81,0,56.4,0,19.34,0,0,5.64,26.59,0.81,0.81,44.31,0.81,57.2,1.61,0,0,1068.32,0,12.09,0,8.06,0,0,3.22,0,0
 48-58,0,0,0,12.05,2.87,0,16.64,0,12.05,0,4.59,1.15,0,0,0.57,35.58,0,21.8,0,0,5.74,21.8,0,2.3,41.89,0,42.46,1.72,0,0,1012.19,0,7.46,0,10.9,0,0,1.15,0,1.15
 60-70,0,0,0,29.45,0.98,0,18.65,0,10.8,0.98,2.94,0.98,0.98,0.98,0,40.24,0,35.33,0,0,10.8,25.52,0,0,35.33,0,53.98,0.98,0,0,989.37,0,10.8,0,1.96,0,0.98,0,0,0
 72-82,0,0,0,42.21,3.93,0,21.6,0,28.47,0.98,6.87,7.85,0,0,1.96,102.09,0.98,59.88,0,0,21.6,39.27,1.96,2.94,49.08,0.98,107,1.96,0,0,1295.79,0,8.83,0,3.93,0.98,0.98,0,0.98,0
 84-94,0,0,0,106.2,2.12,0,12.74,0,101.96,0,3.19,6.37,0,0,1.06,190.1,1.06,87.09,0,0,24.43,49.92,1.06,0,26.55,0,118.95,1.06,0,0,3665.09,0,41.42,0,1.06,1.06,0,1.06,0,0
 96-106,0,1.09,1.09,185.78,5.46,1.09,40.44,0,128.96,2.19,9.84,21.86,0,0,2.19,254.63,1.09,113.66,5.46,0,31.69,81.96,1.09,3.28,89.61,0,208.73,3.28,0,2.19,4076.32,0,28.41,0,4.37,5.46,0,2.19,1.09,1.09
108-118,0,0.77,0,156.26,0,0,19.15,0.77,180.77,3.83,11.49,22.98,0,1.53,1.53,238.98,0,93.45,1.53,0,26.04,78.13,1.53,2.3,58.98,0.77,125.62,2.3,0,1.53,3570.92,0,27.57,0,1.53,2.3,0,2.3,3.06,1.53
120,0,0,0,137.18,3.92,0,15.68,3.92,107.79,0,5.88,17.64,0,0,0,135.23,3.92,50.95,9.8,0,7.84,43.12,0,1.96,62.71,1.96,94.07,0,0,0,2006.82,0,23.52,0,0,0,0,0,0,0
