stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,2,0,7,6,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,2.46,0.82,0,0,0,0,0,0.82,13.95,0,0,0,0.82,0,3.28,2.46,2.46,0,1.64,0,0
 36-46,0,0,0.81,0,0,5.64,2.42,0,0,0,0,0,1.61,0,0,0,0,1.61,0,1.61,16.92,0.81,0,0,1.61,0,0,0,2.42,0,0,0,0
 48-58,0,0,0.57,0,0,6.89,8.61,0,0,1.72,0,0,0.57,0,0,0,0,0,0,0,19.51,0,0,0,1.72,0,0,0,3.44,0,0.57,0,0
 60-70,0,0,0.98,0,0,7.85,8.83,0,0,2.94,0,0.98,1.96,0,0,0,0,9.82,0,0.98,24.54,0,1.96,0,0.98,0.98,1.96,0,0.98,0.98,0,0,0
 72-82,0,0,0,0,0,9.82,0.98,0,0.98,5.89,0.98,0,0.98,0,0,0,0,10.8,0,1.96,25.52,0,0,0,0.98,0,0.98,0,2.94,0.98,0.98,0,0.98
 84-94,0,0,0,0,0,2.12,2.12,0,1.06,5.31,0,1.06,1.06,0,0,0,0,4.25,0,0,18.05,0,1.06,0,2.12,0,0,0,3.19,1.06,0,1.06,0
 96-106,0,0,1.09,2.19,1.09,2.19,2.19,0,1.09,2.19,0,0,0,1.09,0,2.19,0,10.93,1.09,4.37,18.58,0,0,0,2.19,0,1.09,0,1.09,1.09,1.09,1.09,1.09
108-118,0,0,1.53,0.77,0.77,6.13,2.3,0,0.77,3.06,0,0,3.06,0,0.77,0,0.77,8.43,0.77,3.06,21.45,0,0,0,1.53,0,1.53,0,0,0,1.53,0.77,0.77
120,0,0,1.96,0,0,3.92,9.8,1.96,0,1.96,0,0,0,0,0,3.92,0,5.88,0,0,9.8,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0
