stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,1,21,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,9,71,3,0,0,7,0,2,19,3,2,23,17,0,3,0
 24-34,0,0,2.46,0,8.21,0,0.82,0.82,1.64,0,0.82,0,0.82,0,0,0.82,0,0,12.31,0,0,6.57,100.14,0,0,2.46,0,0,1.64,0,0,0,4.93,32.83,0,1.64,0
 36-46,0,0,1.61,0,29.81,0.81,0.81,0.81,8.86,0,0,1.61,0,0,0,0,0,0,22.56,0,1.61,5.64,145.02,3.22,2.42,0.81,0,0,2.42,0,0.81,0,0,26.59,0,1.61,0
 48-58,0,0,1.72,0,32.13,0,0.57,5.16,14.92,0,0,0,0,0,0,0.57,0,0.57,28.12,0,0,4.02,103.86,0,0,1.15,0,0,1.72,0,0.57,0,0,24.67,0,1.72,0
 60-70,0,0,2.94,0,71.65,0,2.94,1.96,27.48,0.98,0,0,0.98,0.98,0.98,0.98,0,0,53,0.98,1.96,2.94,117.78,0,0.98,0,0,0,3.93,0,0,0,0,19.63,0.98,3.93,0
 72-82,0,0,1.96,0,29.45,0,0,0,16.69,0,0,0,0,0,0,0,0,0,42.21,0.98,0.98,3.93,90.31,0.98,0.98,1.96,0,0,4.91,0,0,0.98,0,4.91,0,0.98,0
 84-94,1.06,0,6.37,0,26.55,0,1.06,1.06,15.93,2.12,0,2.12,1.06,0,1.06,1.06,1.06,0,26.55,0,2.12,3.19,35.05,0,1.06,2.12,0,0,12.74,0,2.12,0,0,1.06,2.12,0,2.12
 96-106,1.09,0,5.46,0,19.67,1.09,0,0,20.76,2.19,0,0,2.19,0,2.19,0,1.09,0,15.3,1.09,0,2.19,44.81,0,3.28,3.28,0,1.09,8.74,0,1.09,0,0,3.28,0,4.37,0
108-118,0,0,3.06,0,13.02,0.77,0.77,2.3,13.02,1.53,0,0,0.77,0.77,0.77,0.77,0,0,18.38,0,2.3,3.83,25.28,0,0.77,1.53,0,0,3.83,0,0,0,0,0.77,0,2.3,0
120,0,0,1.96,0,5.88,0,3.92,1.96,15.68,1.96,0,0,3.92,0,0,0,0,0,27.44,0,1.96,5.88,45.08,1.96,1.96,1.96,0,0,3.92,0,0,0,0,0,0,3.92,1.96
