stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,65.89,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,24.52,551.67,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,39.43,0,0,5.26,0,0,0,0,0,0,0,278.64,0,0,0,76.23,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,97.56,6.29,0,0,37.76,0,0,3.15,0,0,0,0
 14-21,0,0,1,7,1,4,0,0,1,0,0,0,1,5,0,1,32,0,0,0,0,2,7,0,6,12,0,0
 24-34,0,0,0.82,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0.82,12.31,0,0,0,0,2.46,0,0,0,0.82,0,1.64
 36-46,0,0,0,1.61,0,2.42,0,0,0,0,0,0,0,0,0,0.81,4.03,0,0.81,0,0,2.42,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0.57,0,0,2.87,0,0,0,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,0,1.96,0,0,8.83,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,1.96,0,0,0.98,0.98,0,0.98,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,2.12,1.06,0,0,0,0,0,0,1.06,1.06,0,1.06,0,0,1.06,0,4.25,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,2.19,0,1.09,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0.77,0,0,0,1.53,0,0,2.3,0,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
