stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,98.07,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,39.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,5,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,7,0,0,1,0,129,1,0,1,2,0,0,0,0,0
 24-34,0,0,0,2.46,8.21,0,0,1.64,0.82,0,0.82,1.64,0,2.46,0,6.57,0,0,2.46,5.75,1.64,18.88,0,0,0,0,252,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,1.61,1.61,0,0,3.22,4.03,0,1.61,0.81,0,0.81,0,5.64,0,1.61,0.81,8.06,0,52.37,0,0,0.81,0,277.15,0,0,0,3.22,0,0,0.81,0,0.81
 48-58,0,0,0,0,4.59,0.57,0,1.72,2.3,0.57,0.57,2.3,0.57,0,0,0.57,0,0,2.87,5.16,0.57,21.8,0.57,0,1.15,0,164.68,0,0,0,3.44,0,0,0,0,0
 60-70,0,0,0,0,9.82,0,0,0.98,2.94,0,0.98,7.85,0.98,0,0,2.94,0,2.94,0,9.82,0.98,18.65,0,0,4.91,0,224.77,0,0,0,0.98,1.96,0,0,0,0
 72-82,0,0,0.98,0.98,19.63,0.98,0,2.94,3.93,0.98,0.98,19.63,2.94,1.96,0.98,9.82,0,1.96,3.93,10.8,0,16.69,0,1.96,5.89,0,205.17,0,0,0,0,10.8,0.98,0.98,0,0
 84-94,0,0,0,0,41.42,1.06,0,5.31,18.05,0,0,47.79,0,0,0,19.12,0,4.25,1.06,12.74,0,10.62,1.06,4.25,4.25,0,663.77,0,1.06,0,0,24.43,0,0,0,0
 96-106,0,0,0,1.09,91.8,2.19,0,10.93,13.11,0,3.28,44.81,0,0,1.09,26.23,0,4.37,5.46,20.76,0,29.51,0,4.37,2.19,0,668.82,0,0,0,0,24.04,0,1.09,2.19,0
108-118,0,0,0,0.77,72,0.77,0.77,1.53,19.15,0,1.53,51.32,0,0,1.53,19.92,0.77,3.83,5.36,16.09,0.77,14.55,0,1.53,3.06,0,621.96,0,0,0,0,38.3,0,0.77,0,0
120,0,0,0,0,48.99,1.96,0,9.8,21.56,0,5.88,35.28,0,0,0,13.72,0,3.92,0,7.84,0,11.76,0,7.84,5.88,0,342.96,0,0,0,0,7.84,0,0,0,0
