stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,2.63,0,0,39.43,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,3.15,0,0,0,0,0,62.94,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,6,0,0,1,0,0,0,1,2,0,0
 24-34,0,0,0,0,0.82,0,0,0,1.64,0,1.64,0,0,0,3.28,0,0,0.82,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,3.22,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0.57,0,0.57,0,1.15,0,1.15,0.57,4.59,0,0,0,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,2.94,0,5.89,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0.98,2.94,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,2.12,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,0,0,1.09,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,1.53,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0.77
