stage,blastomeres,epidermis,eye,glial,ionocyte,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,171.31,0,0,0,0,0,0,0,0,52.71,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,9.44,0,3.15,0,3.15,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,8.61,0,0,0,0,1.72
 60-70,0,0,1.96,0,0,0,3.93,0,0,0,0,0.98
 72-82,0,1.96,5.89,0,0,0,6.87,0,0,0,0,1.96
 84-94,0,1.06,2.12,0,0,2.12,2.12,0,0,0,0,1.06
 96-106,0,3.28,2.19,0,0,1.09,2.19,0,0,0,0,2.19
108-118,0,9.19,0,0.77,0,0,1.53,0.77,0,0,0,0.77
120,0,13.72,1.96,0,1.96,0,3.92,0,0,1.96,0,0
