stage,axial,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0.81,0,0,0,4.03,0.81,0
 48-58,0,0,0,0,1.15,0,1.15,0,0,0.57,1.15,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0.98,0,0,0,6.87,0,0,0,0.98,0,0.98,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,0,0,2.94,0,0.98,0,3.93,0,1.96,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,2.12,0,0,4.25,0,0,0,0,0,2.12,0,0,0,0,4.25,1.06,0
 96-106,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0,0,1.53,0,0,0,0,0.77,1.53,0,0.77,0,0.77,1.53,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0
