stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
 24-34,0,1.64,0,0.82,0,0,0,0,0.82,0,0,0,0,0,4.93,0.82,0,0,1.64,0.82,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,10.47,0,0,0,4.83,0,5.64,0
 48-58,0,0,0,0.57,0,2.3,0,0,0,0,0.57,0,0,0,5.16,0,0.57,0,1.72,0,3.44,0
 60-70,0,0,0,2.94,0,1.96,0,0.98,0,0,0,0,0,0,3.93,0,0,0,4.91,0,0.98,0
 72-82,0,0.98,0.98,2.94,0.98,1.96,0.98,0,0,0,0,0.98,0.98,0,3.93,0.98,0.98,0,1.96,0,1.96,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,3.19,0,0,0,8.5,0,0,0
 96-106,0,1.09,0,1.09,1.09,1.09,0,0,0,0,0,1.09,0,0,1.09,0,0,0,8.74,0,1.09,0
108-118,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,6.13,0,0,0
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,5.88,0,0,0,11.76,0,0,0
