stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,52.71,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,269.7,0,0,0,0,0,0,0,0,0,12.26,0,0,12.26,0,0,0,0,0
  7-9,5.26,15.77,7.89,0,0,15.77,0,0,0,5.26,0,134.06,7.89,52.57,0,2.63,0,0,0,0
 10-12,0,12.59,6.29,0,0,3.15,0,0,0,3.15,0,47.2,3.15,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,2,0,1,3
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,4.91,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,6.37,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0
