stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,9.85,0,0,0,0,0,0.82,1.64,4.93,0.82,0,3.28,0,0,0,0
 36-46,0.81,0,26.59,0.81,0,0,0,0,2.42,0,12.09,0,0.81,0,3.22,0,0,0
 48-58,0,0,17.79,0,0.57,0,0.57,0,0.57,0.57,8.61,0,0,0,2.87,0,0,0
 60-70,0.98,0,37.3,0,0,0,0,0,3.93,0,9.82,0,0,0.98,0,0,0,0.98
 72-82,0,0,29.45,0,0.98,0,0,0,1.96,0,9.82,0,0,3.93,0,0.98,1.96,0
 84-94,1.06,1.06,26.55,0,1.06,0,0,0,0,0,2.12,0,0,3.19,0,1.06,0,0
 96-106,0,0,15.3,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0
108-118,1.53,0,22.21,1.53,0,0.77,0,0,0.77,0.77,6.89,0,0,1.53,0,0,0,0
120,0,0,21.56,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0
